Incidence_ID,IncidenceCode,Driver_ID,Weight,Date,Status
i1002334-5,accident,d1002334,0.84,12/12/2024,Resolved
i1002883-3,accident,d1002883,0.58,30/01/2025,Resolved
i1002896-5,accident,d1002896,0.77,23/01/2024,Pending
i1001947-2,licenseFine,d1001947,0.98,01/04/2024,UnderReview
i1002740-4,accident,d1002740,0.31,26/02/2025,Pending
i1002086-3,accident,d1002086,0.35,05/07/2024,Open
i1001735-3,accident,d1001735,0.92,26/05/2025,UnderReview
i1001899-5,routeDelay,d1001899,0.7,28/11/2024,Open
i1001634-3,licenseFine,d1001634,0.47,26/03/2025,Open
i1002566-4,licenseFine,d1002566,0.63,21/06/2024,Pending
i1002828-1,licenseFine,d1002828,0.28,05/08/2024,UnderReview
i1002225-5,theft,d1002225,0.69,18/12/2024,UnderReview
i1002899-4,maintenance,d1002899,0.37,08/04/2025,Pending
i1002302-3,licenseFine,d1002302,0.99,07/06/2024,Pending
i1002423-5,licenseFine,d1002423,0.35,29/04/2024,Open
i1002808-5,routeDelay,d1002808,0.31,31/01/2025,Open
i1001234-3,accident,d1001234,0.21,10/04/2024,Resolved
i1001586-1,theft,d1001586,0.69,27/02/2025,Open
i1002985-1,licenseFine,d1002985,0.33,16/04/2025,UnderReview
i1002228-5,accident,d1002228,0.97,21/10/2024,Open
i1002751-3,licenseFine,d1002751,0.45,03/06/2025,Open
i1001781-3,theft,d1001781,0.6,25/08/2024,Resolved
i1001223-1,speeding,d1001223,0.78,10/05/2024,Resolved
i1002279-5,maintenance,d1002279,0.85,10/02/2024,UnderReview
i1001799-1,routeDelay,d1001799,0.71,23/02/2024,UnderReview
i1001679-2,maintenance,d1001679,0.06,25/05/2025,Open
i1001153-5,licenseFine,d1001153,0.9,23/01/2025,Open
i1001252-3,accident,d1001252,0.95,11/03/2024,Open
i1002236-3,maintenance,d1002236,0.78,17/03/2024,Pending
i1002359-1,theft,d1002359,0.99,30/10/2024,Open
i1002595-3,speeding,d1002595,0.8,11/03/2025,UnderReview
i1001915-5,accident,d1001915,0.28,15/03/2025,UnderReview
i1002597-2,licenseFine,d1002597,0.28,06/08/2025,UnderReview
i1001767-1,speeding,d1001767,0.87,04/05/2024,UnderReview
i1002600-1,maintenance,d1002600,1.0,07/01/2025,Open
i1002047-2,licenseFine,d1002047,0.57,13/11/2024,Resolved
i1001982-5,routeDelay,d1001982,0.87,06/01/2025,Resolved
i1001755-3,accident,d1001755,0.26,13/08/2024,UnderReview
i1001054-2,maintenance,d1001054,0.88,02/03/2024,Resolved
i1001442-2,maintenance,d1001442,0.88,21/01/2025,Open
i1002284-3,accident,d1002284,0.12,28/01/2024,Open
i1001289-5,licenseFine,d1001289,0.79,27/11/2024,Open
i1001771-4,accident,d1001771,0.69,11/04/2025,Pending
i1002104-4,licenseFine,d1002104,0.99,05/05/2025,Open
i1001678-1,licenseFine,d1001678,0.42,26/12/2024,UnderReview
i1002064-1,speeding,d1002064,0.41,04/05/2025,UnderReview
i1001792-4,routeDelay,d1001792,0.13,19/05/2025,UnderReview
i1001380-3,speeding,d1001380,0.76,17/10/2024,Resolved
i1001822-3,theft,d1001822,0.92,15/09/2024,Resolved
i1002736-1,speeding,d1002736,0.4,15/08/2024,Pending
i1002346-2,routeDelay,d1002346,0.35,17/03/2025,Resolved
i1001536-1,licenseFine,d1001536,0.67,16/01/2024,Open
i1001924-2,routeDelay,d1001924,0.09,01/12/2024,UnderReview
i1002706-1,routeDelay,d1002706,0.68,28/01/2025,Open
i1002422-5,accident,d1002422,0.47,30/07/2025,Resolved
i1001214-1,theft,d1001214,0.72,24/06/2024,UnderReview
i1002875-2,routeDelay,d1002875,0.5,02/06/2025,UnderReview
i1002714-5,accident,d1002714,0.27,18/11/2024,UnderReview
i1001324-5,routeDelay,d1001324,0.2,20/12/2024,Resolved
i1001448-5,routeDelay,d1001448,0.38,25/07/2025,Resolved
i1001162-5,licenseFine,d1001162,0.49,05/04/2025,Open
i1002347-2,maintenance,d1002347,0.93,12/01/2024,Pending
i1001852-2,accident,d1001852,0.51,05/04/2025,Resolved
i1002090-5,theft,d1002090,0.83,27/06/2024,UnderReview
i1002914-3,speeding,d1002914,0.51,24/05/2025,Pending
i1001373-5,routeDelay,d1001373,0.11,03/08/2025,Resolved
i1001626-5,licenseFine,d1001626,0.67,18/08/2025,Open
i1002702-1,speeding,d1002702,0.87,12/02/2024,UnderReview
i1002595-4,theft,d1002595,0.82,06/06/2024,UnderReview
i1002061-5,theft,d1002061,0.58,22/03/2024,UnderReview
i1002591-3,theft,d1002591,0.16,07/01/2024,Resolved
i1002433-1,maintenance,d1002433,0.51,23/09/2024,UnderReview
i1002543-1,theft,d1002543,0.18,15/07/2025,Open
i1001989-1,licenseFine,d1001989,0.28,12/02/2024,UnderReview
i1002825-2,routeDelay,d1002825,0.21,24/02/2025,Pending
i1002734-5,accident,d1002734,0.16,25/11/2024,Resolved
i1002385-1,routeDelay,d1002385,0.33,20/08/2024,Open
i1001106-3,speeding,d1001106,0.96,06/01/2024,UnderReview
i1001338-3,maintenance,d1001338,0.18,06/02/2025,Open
i1001810-3,speeding,d1001810,0.51,05/09/2024,Resolved
i1002522-1,licenseFine,d1002522,0.55,03/04/2025,Open
i1002676-5,licenseFine,d1002676,0.72,02/10/2024,Resolved
i1002767-1,speeding,d1002767,0.68,09/04/2024,Resolved
i1001309-2,maintenance,d1001309,0.24,21/06/2025,UnderReview
i1002049-3,licenseFine,d1002049,0.74,02/11/2024,Resolved
i1001535-3,speeding,d1001535,0.85,05/08/2025,Resolved
i1002144-1,routeDelay,d1002144,0.67,03/08/2025,Resolved
i1001329-4,licenseFine,d1001329,0.92,15/01/2025,Open
i1001444-3,speeding,d1001444,0.84,22/01/2025,Open
i1002410-2,licenseFine,d1002410,0.65,17/01/2024,Open
i1002655-2,licenseFine,d1002655,0.85,29/03/2025,Open
i1002801-1,maintenance,d1002801,0.26,17/03/2024,Open
i1002993-2,maintenance,d1002993,0.74,16/02/2024,Pending
i1001347-3,licenseFine,d1001347,0.26,22/02/2025,Pending
i1002770-5,theft,d1002770,0.22,06/01/2025,Open
i1001163-1,theft,d1001163,0.18,25/04/2025,Open
i1001780-4,theft,d1001780,0.58,20/06/2025,Open
i1002844-2,licenseFine,d1002844,0.14,17/02/2025,Resolved
i1001917-5,theft,d1001917,0.64,29/04/2024,UnderReview
i1002079-4,speeding,d1002079,0.44,30/05/2025,UnderReview
i1002410-4,speeding,d1002410,0.76,13/02/2025,UnderReview
i1002214-1,routeDelay,d1002214,0.29,01/01/2024,Open
i1001748-2,routeDelay,d1001748,0.83,04/04/2024,UnderReview
i1002758-1,maintenance,d1002758,0.77,25/01/2024,UnderReview
i1002476-3,routeDelay,d1002476,0.86,05/05/2024,UnderReview
i1001477-3,theft,d1001477,0.18,27/04/2024,UnderReview
i1001786-5,theft,d1001786,0.43,25/05/2025,Open
i1001058-1,routeDelay,d1001058,0.9,11/08/2025,UnderReview
i1001177-2,licenseFine,d1001177,0.84,08/08/2025,Open
i1002944-5,speeding,d1002944,0.97,18/07/2024,Resolved
i1001035-4,accident,d1001035,0.18,26/09/2024,Open
i1002740-4,speeding,d1002740,0.33,07/10/2024,UnderReview
i1001453-3,speeding,d1001453,0.9,16/01/2025,Open
i1001233-3,speeding,d1001233,0.56,26/06/2024,Pending
i1002467-3,accident,d1002467,0.98,11/05/2024,Pending
i1001736-1,maintenance,d1001736,0.23,02/04/2024,UnderReview
i1002406-3,speeding,d1002406,0.97,03/06/2024,Open
i1001239-3,speeding,d1001239,0.96,25/01/2025,Open
i1002229-3,maintenance,d1002229,0.84,17/09/2024,Resolved
i1001701-3,accident,d1001701,0.85,11/06/2025,Open
i1001588-5,theft,d1001588,0.69,09/06/2024,UnderReview
i1001124-2,speeding,d1001124,0.81,21/04/2025,Resolved
i1002046-5,routeDelay,d1002046,0.49,14/08/2024,UnderReview
i1002953-3,maintenance,d1002953,0.84,30/06/2025,Open
i1002734-1,speeding,d1002734,0.97,07/07/2025,Pending
i1001433-2,licenseFine,d1001433,0.82,03/04/2025,Resolved
i1002105-1,speeding,d1002105,0.59,10/12/2024,UnderReview
i1002043-5,licenseFine,d1002043,0.21,01/05/2024,Pending
i1002287-4,routeDelay,d1002287,0.14,02/10/2024,Resolved
i1002153-5,maintenance,d1002153,0.99,27/04/2024,Resolved
i1002811-5,routeDelay,d1002811,0.84,11/04/2025,UnderReview
i1002441-5,licenseFine,d1002441,0.62,31/05/2025,UnderReview
i1001840-5,licenseFine,d1001840,0.85,25/06/2024,Open
i1002393-1,theft,d1002393,0.22,19/09/2024,Resolved
i1002037-1,licenseFine,d1002037,0.37,03/02/2024,UnderReview
i1002019-2,accident,d1002019,0.85,11/06/2025,Resolved
i1001375-2,licenseFine,d1001375,0.92,05/01/2025,Pending
i1002552-3,maintenance,d1002552,0.75,08/04/2025,Pending
i1001203-2,routeDelay,d1001203,0.73,04/07/2024,Resolved
i1002739-3,theft,d1002739,0.4,04/03/2024,Open
i1001648-1,speeding,d1001648,0.68,15/01/2024,Resolved
i1002725-5,licenseFine,d1002725,0.61,02/08/2024,Open
i1001904-2,speeding,d1001904,0.54,08/01/2025,Open
i1002375-4,accident,d1002375,0.89,14/08/2024,UnderReview
i1001862-5,maintenance,d1001862,0.73,28/05/2024,UnderReview
i1002943-1,accident,d1002943,0.61,10/04/2025,UnderReview
i1002968-1,theft,d1002968,0.53,21/04/2025,Pending
i1001704-3,accident,d1001704,0.57,15/03/2024,Open
i1001361-1,speeding,d1001361,0.64,08/06/2025,Open
i1001116-5,theft,d1001116,0.86,09/01/2025,Open
i1002219-2,accident,d1002219,0.5,05/03/2024,Resolved
i1002188-2,accident,d1002188,0.13,04/09/2024,Resolved
i1002586-4,routeDelay,d1002586,0.6,27/04/2024,Open
i1001897-2,theft,d1001897,0.55,13/01/2024,Pending
i1002267-2,licenseFine,d1002267,0.86,20/08/2024,Open
i1002724-1,accident,d1002724,0.95,27/01/2025,Resolved
i1002788-3,speeding,d1002788,0.52,31/05/2025,Resolved
i1001592-5,accident,d1001592,0.98,11/06/2025,UnderReview
i1001665-3,maintenance,d1001665,0.13,01/06/2024,Open
i1002868-2,routeDelay,d1002868,0.84,18/02/2025,Pending
i1001654-1,routeDelay,d1001654,0.4,18/05/2024,Resolved
i1002886-3,speeding,d1002886,0.67,12/01/2024,Pending
i1001589-5,accident,d1001589,0.94,12/03/2024,Pending
i1002829-3,maintenance,d1002829,0.74,15/02/2025,Pending
i1001198-2,theft,d1001198,0.38,11/02/2024,UnderReview
i1002366-2,licenseFine,d1002366,0.59,23/02/2025,Open
i1001049-2,licenseFine,d1001049,0.19,03/09/2024,Pending
i1002487-4,accident,d1002487,0.88,17/04/2025,Open
i1001188-2,speeding,d1001188,0.47,18/11/2024,Pending
i1002669-5,theft,d1002669,0.24,16/12/2024,Resolved
i1002257-2,maintenance,d1002257,0.94,24/04/2024,Pending
i1001601-2,licenseFine,d1001601,0.31,08/06/2025,Open
i1001920-4,speeding,d1001920,0.93,18/01/2025,Pending
i1001544-5,maintenance,d1001544,0.18,21/04/2025,Open
i1001683-2,speeding,d1001683,0.2,17/10/2024,UnderReview
i1001979-4,routeDelay,d1001979,0.98,05/06/2025,Pending
i1002981-1,maintenance,d1002981,0.1,13/04/2025,Resolved
i1001247-1,licenseFine,d1001247,0.31,08/11/2024,UnderReview
i1001622-2,theft,d1001622,0.36,11/01/2025,Open
i1001606-5,routeDelay,d1001606,0.69,06/11/2024,Pending
i1002940-2,theft,d1002940,0.14,10/01/2025,UnderReview
i1002864-4,speeding,d1002864,0.45,03/09/2024,Resolved
i1002793-3,maintenance,d1002793,0.91,06/05/2024,Resolved
i1001782-5,maintenance,d1001782,0.18,21/05/2025,Resolved
i1002481-1,theft,d1002481,0.07,12/11/2024,Pending
i1001782-3,routeDelay,d1001782,0.85,08/09/2024,Open
i1001084-2,maintenance,d1001084,0.33,22/08/2025,UnderReview
i1002121-5,accident,d1002121,0.51,05/04/2024,Pending
i1001743-3,speeding,d1001743,0.56,02/09/2024,Resolved
i1002474-3,maintenance,d1002474,0.62,11/05/2024,Open
i1001450-3,routeDelay,d1001450,0.4,21/07/2025,Pending
i1002977-3,accident,d1002977,0.07,04/02/2024,UnderReview
i1002124-1,licenseFine,d1002124,0.78,12/05/2025,Pending
i1001590-1,routeDelay,d1001590,0.8,16/03/2024,Resolved
i1001920-5,theft,d1001920,0.68,12/07/2025,UnderReview
i1001561-2,licenseFine,d1001561,0.44,20/04/2025,Resolved
i1002739-4,maintenance,d1002739,0.51,12/06/2024,UnderReview
i1001805-2,theft,d1001805,0.22,07/01/2025,UnderReview
i1001982-5,theft,d1001982,0.53,28/09/2024,Pending
i1001957-2,licenseFine,d1001957,0.58,24/06/2025,Open
i1002513-1,accident,d1002513,0.47,05/03/2024,Open
i1002977-3,speeding,d1002977,0.17,20/09/2024,Pending
i1002026-5,theft,d1002026,0.61,20/12/2024,UnderReview
i1001939-2,routeDelay,d1001939,0.93,18/02/2024,UnderReview
i1001874-3,accident,d1001874,0.16,17/12/2024,UnderReview
i1002193-2,routeDelay,d1002193,0.25,31/10/2024,Resolved
i1002842-5,speeding,d1002842,0.62,19/09/2024,Resolved
i1002916-3,routeDelay,d1002916,0.98,15/02/2025,Pending
i1001619-5,routeDelay,d1001619,0.25,20/05/2024,UnderReview
i1002321-1,accident,d1002321,0.18,13/11/2024,Pending
i1002576-5,maintenance,d1002576,0.68,23/04/2024,Resolved
i1001500-5,maintenance,d1001500,0.82,08/07/2024,Open
i1002752-4,maintenance,d1002752,0.42,19/08/2025,Open
i1001042-4,maintenance,d1001042,0.57,08/02/2024,Open
i1001511-2,theft,d1001511,0.12,16/05/2025,Open
i1002069-1,maintenance,d1002069,0.7,12/09/2024,Open
i1001705-5,speeding,d1001705,0.51,14/08/2025,Pending
i1001878-3,licenseFine,d1001878,0.83,03/02/2025,UnderReview
i1002373-4,routeDelay,d1002373,0.93,16/06/2025,UnderReview
i1002070-3,theft,d1002070,0.48,24/02/2024,Pending
i1002790-3,licenseFine,d1002790,0.23,13/09/2024,Open
i1002923-3,licenseFine,d1002923,0.94,30/01/2024,Open
i1002111-2,routeDelay,d1002111,0.25,10/03/2024,Pending
i1001900-4,theft,d1001900,0.06,10/02/2025,Resolved
i1002289-4,routeDelay,d1002289,0.3,27/03/2025,UnderReview
i1001650-4,licenseFine,d1001650,0.58,10/02/2025,Open
i1001238-1,accident,d1001238,0.28,25/03/2025,Open
i1002212-1,licenseFine,d1002212,0.66,15/07/2025,Pending
i1002074-5,accident,d1002074,0.68,30/04/2025,Resolved
i1002045-4,maintenance,d1002045,0.47,01/08/2024,Resolved
i1002693-3,routeDelay,d1002693,0.23,04/02/2025,Pending
i1002584-1,routeDelay,d1002584,0.95,02/01/2024,Pending
i1001145-1,routeDelay,d1001145,0.37,26/02/2025,Open
i1001957-1,accident,d1001957,0.9,22/04/2024,Resolved
i1002758-3,accident,d1002758,0.84,07/06/2024,UnderReview
i1001216-3,theft,d1001216,0.1,28/11/2024,UnderReview
i1001570-4,theft,d1001570,0.33,01/03/2025,UnderReview
i1002597-4,licenseFine,d1002597,0.14,27/07/2024,Open
i1002701-1,speeding,d1002701,0.63,07/11/2024,UnderReview
i1001124-3,theft,d1001124,0.94,12/06/2025,Open
i1002298-4,theft,d1002298,0.83,30/05/2025,UnderReview
i1002910-3,theft,d1002910,0.11,18/12/2024,Open
i1002754-4,speeding,d1002754,0.39,05/01/2025,Resolved
i1002045-1,speeding,d1002045,0.69,10/09/2024,Open
i1001349-3,theft,d1001349,0.96,22/07/2024,Open
i1001377-3,licenseFine,d1001377,0.76,21/06/2024,Resolved
i1001944-1,theft,d1001944,0.32,20/03/2024,Open
i1001004-3,theft,d1001004,0.51,27/06/2024,UnderReview
i1001026-3,maintenance,d1001026,0.5,13/06/2024,Open
i1002662-5,licenseFine,d1002662,0.76,01/10/2024,Resolved
i1001440-1,theft,d1001440,0.41,27/07/2024,UnderReview
i1002425-4,theft,d1002425,0.56,20/11/2024,Pending
i1002036-2,routeDelay,d1002036,0.38,30/10/2024,UnderReview
i1001356-1,accident,d1001356,0.53,19/07/2024,Open
i1001367-2,accident,d1001367,0.16,10/02/2025,UnderReview
i1002616-1,theft,d1002616,0.41,05/11/2024,Open
i1001783-3,routeDelay,d1001783,1.0,25/01/2025,Pending
i1002117-1,theft,d1002117,0.43,16/08/2024,Resolved
i1001853-5,maintenance,d1001853,0.81,05/10/2024,Open
i1001099-4,theft,d1001099,0.91,15/07/2025,Open
i1002865-5,theft,d1002865,0.92,01/03/2025,UnderReview
i1002381-3,maintenance,d1002381,0.63,20/03/2024,Resolved
i1002520-3,accident,d1002520,0.87,16/07/2025,UnderReview
i1002294-5,theft,d1002294,0.82,19/10/2024,Pending
i1001430-1,speeding,d1001430,0.43,10/08/2025,Open
i1001956-4,maintenance,d1001956,0.21,21/08/2025,Pending
i1001076-1,licenseFine,d1001076,0.05,12/07/2025,Pending
i1001741-4,maintenance,d1001741,0.18,24/10/2024,Pending
i1002096-2,accident,d1002096,0.84,01/03/2025,UnderReview
i1002291-5,maintenance,d1002291,0.56,12/05/2024,Pending
i1002404-5,maintenance,d1002404,0.64,24/03/2025,UnderReview
i1002497-4,maintenance,d1002497,0.41,13/07/2024,Resolved
i1001841-5,routeDelay,d1001841,0.26,07/08/2024,Open
i1002055-4,routeDelay,d1002055,0.09,26/02/2024,Resolved
i1001677-2,theft,d1001677,0.13,23/09/2024,Pending
i1002527-5,speeding,d1002527,0.35,14/10/2024,Pending
i1002953-4,routeDelay,d1002953,0.1,28/08/2024,Open
i1002779-4,routeDelay,d1002779,0.98,03/04/2025,UnderReview
i1002956-1,speeding,d1002956,0.77,27/06/2025,Resolved
i1001199-5,licenseFine,d1001199,0.22,09/12/2024,Pending
i1001160-1,speeding,d1001160,0.3,17/10/2024,Resolved
i1001654-1,routeDelay,d1001654,0.97,13/03/2024,UnderReview
i1002051-3,routeDelay,d1002051,0.75,20/06/2025,Open
i1001473-2,licenseFine,d1001473,0.66,15/07/2025,UnderReview
i1002391-3,speeding,d1002391,0.29,04/06/2025,UnderReview
i1002871-2,speeding,d1002871,0.84,25/04/2025,UnderReview
i1002340-1,maintenance,d1002340,0.59,03/09/2024,Pending
i1001784-4,routeDelay,d1001784,0.64,04/09/2024,Resolved
i1002866-1,routeDelay,d1002866,0.62,27/06/2024,Open
i1002825-5,maintenance,d1002825,0.52,13/04/2024,Pending
i1002679-1,speeding,d1002679,0.49,02/02/2025,Open
i1002810-5,accident,d1002810,0.95,10/01/2025,UnderReview
i1002150-5,licenseFine,d1002150,0.76,03/02/2025,Resolved
i1002152-3,routeDelay,d1002152,0.71,01/03/2025,UnderReview
i1001429-4,accident,d1001429,0.22,25/06/2025,Resolved
i1001523-3,theft,d1001523,0.09,11/03/2024,Pending
i1002527-3,routeDelay,d1002527,0.49,03/08/2025,Open
i1001928-1,accident,d1001928,0.22,06/03/2025,UnderReview
i1002371-4,maintenance,d1002371,0.2,12/11/2024,Open
i1002476-4,routeDelay,d1002476,0.43,16/10/2024,UnderReview
i1002561-5,routeDelay,d1002561,0.63,01/08/2025,Pending
i1001165-3,theft,d1001165,0.15,10/08/2025,Open
i1002842-2,licenseFine,d1002842,0.99,02/12/2024,Resolved
i1001395-3,speeding,d1001395,0.28,15/07/2025,Pending
i1001066-1,theft,d1001066,0.05,10/11/2024,UnderReview
i1002007-3,routeDelay,d1002007,0.82,26/04/2025,Resolved
i1002293-4,theft,d1002293,0.11,14/01/2025,Open
i1001583-2,theft,d1001583,0.05,17/02/2025,Pending
i1002497-4,licenseFine,d1002497,0.73,10/05/2025,UnderReview
i1002534-4,maintenance,d1002534,0.72,26/04/2025,Open
i1002592-2,theft,d1002592,0.39,19/02/2024,Pending
i1001687-5,theft,d1001687,0.54,20/03/2024,UnderReview
i1001200-5,speeding,d1001200,0.41,02/01/2024,Pending
i1001444-3,speeding,d1001444,0.75,08/01/2024,Open
i1001055-3,speeding,d1001055,0.58,11/02/2025,Pending
i1002040-4,maintenance,d1002040,0.57,17/03/2025,Pending
i1001235-5,speeding,d1001235,0.34,27/04/2024,Resolved
i1002977-4,routeDelay,d1002977,0.44,21/10/2024,UnderReview
i1002985-1,speeding,d1002985,0.4,17/06/2024,Resolved
i1002348-1,speeding,d1002348,0.48,08/02/2025,Pending
i1001877-5,routeDelay,d1001877,0.46,17/06/2024,Pending
i1001206-5,speeding,d1001206,0.81,25/07/2025,Open
i1001157-4,routeDelay,d1001157,0.55,26/08/2024,Open
i1002614-3,maintenance,d1002614,0.35,16/07/2024,Resolved
i1001911-5,maintenance,d1001911,0.05,21/07/2024,UnderReview
i1001842-2,licenseFine,d1001842,0.21,24/04/2025,Open
i1001876-3,accident,d1001876,0.51,25/12/2024,Resolved
i1001896-1,theft,d1001896,0.3,28/10/2024,Resolved
i1001272-1,accident,d1001272,0.77,26/07/2025,Pending
i1001369-5,accident,d1001369,0.1,20/02/2025,Resolved
i1002621-1,speeding,d1002621,0.08,05/08/2024,Resolved
i1001166-1,accident,d1001166,0.22,06/04/2025,Resolved
i1001735-3,routeDelay,d1001735,0.53,02/06/2025,UnderReview
i1002423-1,accident,d1002423,0.63,06/01/2025,Resolved
i1001949-3,maintenance,d1001949,0.48,14/05/2024,UnderReview
i1002172-4,speeding,d1002172,0.81,31/08/2024,Open
i1001291-4,speeding,d1001291,0.79,06/05/2024,Resolved
i1001085-4,licenseFine,d1001085,0.48,08/07/2025,Resolved
i1001341-5,speeding,d1001341,0.33,27/02/2024,Pending
i1002181-1,maintenance,d1002181,1.0,05/10/2024,Open
i1002481-1,licenseFine,d1002481,0.25,18/03/2025,Resolved
i1002897-5,licenseFine,d1002897,0.8,14/09/2024,UnderReview
i1002538-3,routeDelay,d1002538,0.49,05/10/2024,Resolved
i1002318-3,accident,d1002318,0.89,31/05/2024,Pending
i1002360-4,maintenance,d1002360,0.32,10/10/2024,Resolved
i1001134-5,theft,d1001134,0.37,16/09/2024,UnderReview
i1002021-5,accident,d1002021,0.11,10/07/2024,Open
i1001195-3,maintenance,d1001195,0.74,19/03/2025,UnderReview
i1001040-4,licenseFine,d1001040,0.33,16/09/2024,Pending
i1002870-4,routeDelay,d1002870,0.17,21/06/2025,Pending
i1002684-3,licenseFine,d1002684,0.69,08/03/2024,Resolved
i1001302-2,accident,d1001302,0.51,02/05/2025,UnderReview
i1001641-3,theft,d1001641,0.26,10/06/2024,Open
i1001389-5,maintenance,d1001389,0.7,22/01/2024,Pending
i1002503-5,speeding,d1002503,0.72,12/05/2024,Resolved
i1001726-5,speeding,d1001726,0.75,16/08/2024,UnderReview
i1001121-4,licenseFine,d1001121,0.35,26/06/2024,UnderReview
i1002582-1,licenseFine,d1002582,0.06,10/12/2024,UnderReview
i1001397-2,routeDelay,d1001397,0.91,13/10/2024,Pending
i1001783-5,maintenance,d1001783,0.74,12/10/2024,UnderReview
i1002473-3,accident,d1002473,0.68,29/03/2025,Resolved
i1001551-1,licenseFine,d1001551,0.49,24/08/2024,Resolved
i1001401-5,maintenance,d1001401,0.35,26/02/2025,Resolved
i1002360-1,theft,d1002360,0.79,26/04/2024,Resolved
i1001278-2,accident,d1001278,0.21,15/05/2025,Pending
i1001019-5,maintenance,d1001019,0.75,12/07/2025,UnderReview
i1001873-4,speeding,d1001873,0.63,05/04/2024,Pending
i1002941-5,licenseFine,d1002941,1.0,29/03/2024,Open
i1002163-3,speeding,d1002163,0.12,21/01/2025,UnderReview
i1001662-2,maintenance,d1001662,0.26,25/05/2025,UnderReview
i1001789-2,licenseFine,d1001789,0.96,09/10/2024,Pending
i1001735-5,routeDelay,d1001735,0.23,08/01/2025,Resolved
i1001556-1,speeding,d1001556,0.52,27/03/2024,Pending
i1002589-4,accident,d1002589,0.93,27/06/2025,Resolved
i1002525-3,routeDelay,d1002525,0.33,01/04/2025,Resolved
i1001010-2,maintenance,d1001010,0.47,06/10/2024,Resolved
i1002729-5,speeding,d1002729,0.86,16/08/2024,UnderReview
i1001175-4,accident,d1001175,0.39,13/01/2024,UnderReview
i1002528-1,maintenance,d1002528,0.76,10/12/2024,Pending
i1001638-5,routeDelay,d1001638,0.51,03/04/2025,Open
i1001178-2,licenseFine,d1001178,0.13,09/05/2025,Resolved
i1001989-5,maintenance,d1001989,0.22,07/06/2025,Pending
i1001416-3,theft,d1001416,0.93,12/08/2024,Pending
i1002220-2,routeDelay,d1002220,0.29,24/02/2025,Resolved
i1002039-1,licenseFine,d1002039,0.46,15/03/2024,Open
i1001763-1,accident,d1001763,0.92,08/08/2025,Open
i1002220-3,speeding,d1002220,0.4,28/02/2025,UnderReview
i1001687-5,routeDelay,d1001687,0.18,06/07/2025,Pending
i1001426-5,accident,d1001426,0.62,18/04/2025,Pending
i1002075-5,routeDelay,d1002075,0.1,27/12/2024,UnderReview
i1001023-2,theft,d1001023,0.31,15/03/2025,Open
i1002295-3,speeding,d1002295,0.4,15/06/2025,UnderReview
i1002599-2,theft,d1002599,0.58,25/02/2024,Pending
i1001944-3,routeDelay,d1001944,0.75,05/08/2024,Open
i1002885-3,accident,d1002885,0.19,08/07/2024,Pending
i1001175-4,maintenance,d1001175,0.69,16/01/2025,Open
i1001395-4,accident,d1001395,0.44,25/09/2024,Resolved
