Package_ID,PackageName,PackageQuant,PackageSize,PackageWeigh,PackageValue,Volume,PickupStop_ID,DeliveryStop_ID,Route_ID
p34,Food Package,10,L,75kg,"R$ 28.699,00",39,1253,1663,r2205
p35,Food Package,4,S,67kg,"R$ 40.702,00",106,377,654,r2134
p36,Retail Package,7,XS,48kg,"R$ 298,00",181,544,439,r1154
p37,E‑commerce Package,10,XS,56kg,"R$ 17.889,00",23,876,1403,r1702
p38,Retail Package,2,L,65kg,"R$ 37.249,00",20,1306,170,r1436
p39,Food Package,5,L,57kg,"R$ 45.850,00",42,1371,390,r2331
p40,Retail Package,7,M,89kg,"R$ 20.022,00",179,1509,718,r1864
p41,Food Package,7,XL,30kg,"R$ 21.499,00",88,1767,1964,r2080
p42,Retail Package,1,GG,20kg,"R$ 2.556,00",70,1999,239,r1863
p43,Petz Package,2,GG,40kg,"R$ 23.876,00",114,1037,1863,r1073
p44,Retail Package,6,L,62kg,"R$ 41.043,00",163,663,1134,r1767
p45,E‑commerce Package,8,GG,64kg,"R$ 12.763,00",80,1987,653,r2723
p46,Petz Package,8,XS,18kg,"R$ 13.827,00",65,919,1222,r2147
p47,Retail Package,1,GG,80kg,"R$ 31.651,00",103,1785,142,r2879
p48,Food Package,1,XXL,52kg,"R$ 36.854,00",111,1860,117,r1931
p49,Retail Package,4,M,26kg,"R$ 14.154,00",109,595,382,r1261
p50,Food Package,2,XL,69kg,"R$ 36.317,00",82,406,50,r2275
p51,Retail Package,7,S,85kg,"R$ 10.470,00",26,869,1101,r2366
p52,Petz Package,7,M,90kg,"R$ 15.656,00",141,1635,1991,r1944
p53,Retail Package,2,XXL,41kg,"R$ 8.607,00",180,1047,1512,r1211
p54,Petz Package,4,GG,94kg,"R$ 5.214,00",149,1392,1507,r1041
p55,Food Package,2,L,100kg,"R$ 3.394,00",138,925,851,r2406
p56,Food Package,5,XS,27kg,"R$ 16.714,00",31,498,1629,r1328
p57,Food Package,3,XS,75kg,"R$ 30.564,00",26,656,257,r1717
p58,Petz Package,4,GG,11kg,"R$ 37.784,00",86,430,515,r1398
p59,Food Package,2,XL,9kg,"R$ 22.328,00",61,1155,1095,r1336
p60,Petz Package,4,XL,37kg,"R$ 7.808,00",74,724,1530,r1968
p61,E‑commerce Package,10,M,92kg,"R$ 41.181,00",48,1676,1511,r1800
p62,Retail Package,6,GG,12kg,"R$ 35.685,00",144,480,378,r2715
p63,Retail Package,4,S,21kg,"R$ 29.255,00",164,1766,237,r2705
p64,Food Package,9,XXL,85kg,"R$ 12.890,00",177,772,1255,r2261
p65,Petz Package,10,M,45kg,"R$ 2.328,00",40,818,446,r1169
p66,Petz Package,6,L,44kg,"R$ 11.581,00",138,621,239,r1994
p67,Retail Package,3,L,49kg,"R$ 29.083,00",10,1813,1121,r2035
p68,Retail Package,7,XXL,39kg,"R$ 27.393,00",164,271,1635,r2513
p69,Petz Package,9,GG,11kg,"R$ 11.671,00",91,1832,1525,r1689
p70,Food Package,7,XL,6kg,"R$ 19.181,00",156,1581,1885,r2368
p71,E‑commerce Package,1,XL,17kg,"R$ 21.144,00",157,1107,1069,r1292
p72,Food Package,9,M,43kg,"R$ 17.751,00",92,157,1817,r2354
p73,Retail Package,8,XL,8kg,"R$ 8.925,00",97,1439,1148,r2836
p74,Retail Package,10,XXL,82kg,"R$ 24.166,00",110,176,1612,r2561
p75,Retail Package,3,S,83kg,"R$ 43.753,00",73,814,706,r1959
p76,E‑commerce Package,10,XL,51kg,"R$ 43.711,00",17,1096,1438,r1961
p77,Petz Package,5,S,8kg,"R$ 37.949,00",141,1223,1424,r2911
p78,E‑commerce Package,10,XL,33kg,"R$ 47.253,00",79,1472,284,r1695
p79,Retail Package,8,L,21kg,"R$ 35.620,00",82,1231,1129,r2432
p80,E‑commerce Package,10,GG,61kg,"R$ 21.417,00",128,1365,736,r1717
p81,E‑commerce Package,5,GG,22kg,"R$ 38.911,00",147,1673,491,r2673
p82,Retail Package,4,XS,65kg,"R$ 40.108,00",88,179,1739,r1990
p83,E‑commerce Package,1,XXL,50kg,"R$ 26.794,00",198,48,1433,r1274
p84,E‑commerce Package,4,S,20kg,"R$ 48.405,00",80,1365,815,r1363
p85,Retail Package,4,S,13kg,"R$ 12.039,00",79,35,625,r1027
p86,Food Package,1,M,59kg,"R$ 44.480,00",68,8,1870,r1410
p87,Petz Package,6,XS,16kg,"R$ 38.252,00",75,138,1371,r1161
p88,E‑commerce Package,1,GG,12kg,"R$ 15.939,00",185,585,574,r1874
p89,Retail Package,5,M,48kg,"R$ 5.661,00",141,1245,1104,r1998
p90,E‑commerce Package,6,GG,57kg,"R$ 41.956,00",124,808,512,r2121
p91,E‑commerce Package,6,S,9kg,"R$ 15.877,00",44,1019,1926,r2986
p92,Retail Package,8,XXL,39kg,"R$ 18.507,00",126,1104,1973,r2585
p93,Petz Package,5,S,91kg,"R$ 1.604,00",120,884,273,r1746
p94,Petz Package,5,XS,16kg,"R$ 395,00",108,1555,244,r1891
p95,Retail Package,8,XXL,3kg,"R$ 13.973,00",56,1736,1283,r1678
p96,Retail Package,10,XL,67kg,"R$ 20.105,00",118,994,1556,r2708
p97,Retail Package,10,GG,15kg,"R$ 12.098,00",115,995,865,r1551
p98,Petz Package,6,XS,61kg,"R$ 11.424,00",5,1721,893,r1497
p99,E‑commerce Package,5,M,89kg,"R$ 19.619,00",117,1949,774,r1497
p100,Retail Package,2,S,96kg,"R$ 41.333,00",25,879,1368,r1766
p101,Retail Package,7,L,94kg,"R$ 7.124,00",101,765,1015,r2783
p102,Food Package,9,M,96kg,"R$ 22.301,00",162,1281,1048,r2498
p103,Retail Package,4,S,72kg,"R$ 38.255,00",92,966,138,r2007
p104,Retail Package,1,L,96kg,"R$ 48.229,00",92,1302,1933,r2316
p105,E‑commerce Package,6,M,72kg,"R$ 31.276,00",108,595,854,r2796
p106,Petz Package,7,XS,79kg,"R$ 11.593,00",138,679,1059,r2428
p107,E‑commerce Package,1,XXL,2kg,"R$ 3.441,00",144,71,318,r1442
p108,Petz Package,9,XS,34kg,"R$ 32.561,00",80,1985,503,r2601
p109,E‑commerce Package,1,GG,70kg,"R$ 5.908,00",118,1668,792,r1258
p110,E‑commerce Package,10,L,52kg,"R$ 44.720,00",81,1399,1326,r2943
p111,E‑commerce Package,4,M,21kg,"R$ 26.775,00",193,1745,272,r1400
p112,Food Package,9,S,47kg,"R$ 24.345,00",166,890,85,r2494
p113,Retail Package,8,XXL,66kg,"R$ 18.676,00",22,1882,1824,r1139
p114,Retail Package,2,S,98kg,"R$ 49.322,00",159,1995,1384,r2989
p115,Petz Package,4,S,18kg,"R$ 11.035,00",44,634,627,r2959
p116,Retail Package,5,XS,56kg,"R$ 29.673,00",60,1461,1220,r2194
p117,Petz Package,1,XL,15kg,"R$ 37.768,00",140,1940,102,r1524
p118,Petz Package,5,XXL,35kg,"R$ 44.677,00",109,304,1671,r1446
p119,Food Package,5,M,82kg,"R$ 27.561,00",55,262,695,r1388
p120,Food Package,7,GG,48kg,"R$ 46.722,00",101,1411,858,r2955
p121,Food Package,6,XL,71kg,"R$ 14.227,00",186,1695,449,r1866
p122,Food Package,1,L,65kg,"R$ 12.975,00",193,1795,1242,r2007
p123,Petz Package,7,XXL,51kg,"R$ 611,00",81,51,1849,r1542
p124,Petz Package,5,GG,38kg,"R$ 17.982,00",185,504,1688,r2688
p125,Food Package,8,XS,4kg,"R$ 28.412,00",163,997,1168,r2920
p126,Retail Package,8,GG,49kg,"R$ 48.468,00",59,691,1081,r1590
p127,Retail Package,10,XS,18kg,"R$ 41.822,00",66,1096,1635,r2222
p128,E‑commerce Package,6,XL,97kg,"R$ 29.571,00",197,1058,1098,r2990
p129,Petz Package,2,XS,20kg,"R$ 29.895,00",168,1525,1086,r2756
p130,Petz Package,4,XL,45kg,"R$ 2.519,00",136,1223,1567,r2434
p131,E‑commerce Package,5,GG,52kg,"R$ 48.603,00",52,1437,774,r2748
p132,Petz Package,8,S,81kg,"R$ 49.432,00",44,920,955,r1729
p133,Petz Package,10,L,64kg,"R$ 48.727,00",43,174,1109,r1973
p134,Food Package,3,XL,16kg,"R$ 39.513,00",107,1908,1345,r2798
p135,Retail Package,5,M,16kg,"R$ 27.231,00",196,795,517,r1611
p136,E‑commerce Package,3,GG,94kg,"R$ 2.009,00",80,1081,537,r1079
p137,Retail Package,1,M,94kg,"R$ 8.584,00",143,1724,1389,r1612
p138,Retail Package,10,GG,39kg,"R$ 32.200,00",159,1330,569,r2284
p139,Petz Package,9,XXL,48kg,"R$ 3.053,00",75,1392,391,r2008
p140,Food Package,5,XL,74kg,"R$ 20.940,00",12,599,919,r1792
p141,Food Package,7,XXL,95kg,"R$ 1.515,00",70,1130,1784,r1129
p142,Food Package,8,S,87kg,"R$ 45.517,00",170,325,1402,r2976
p143,Retail Package,10,XL,5kg,"R$ 2.524,00",199,1766,1079,r1262
p144,Petz Package,1,XXL,1kg,"R$ 17.676,00",124,1632,493,r1577
p145,Food Package,10,GG,31kg,"R$ 41.835,00",120,1496,242,r1950
p146,Food Package,2,XL,2kg,"R$ 27.441,00",49,1459,298,r2741
p147,Retail Package,2,S,49kg,"R$ 17.976,00",100,887,1906,r2660
p148,E‑commerce Package,9,M,44kg,"R$ 19.951,00",11,832,121,r2308
p149,E‑commerce Package,2,XL,34kg,"R$ 6.875,00",61,1390,1560,r1219
p150,E‑commerce Package,7,XL,37kg,"R$ 16.696,00",48,263,1845,r2123
p151,Retail Package,8,XL,22kg,"R$ 26.099,00",132,1993,1833,r1929
p152,Food Package,7,XXL,38kg,"R$ 16.244,00",85,31,1837,r2758
p153,Food Package,1,XL,92kg,"R$ 46.430,00",79,311,1521,r2966
p154,Retail Package,2,GG,60kg,"R$ 32.999,00",99,591,1306,r2446
p155,E‑commerce Package,3,XXL,62kg,"R$ 33.877,00",58,872,722,r1665
p156,Petz Package,7,XL,11kg,"R$ 46.106,00",47,1238,1357,r2641
p157,Petz Package,10,GG,2kg,"R$ 49.824,00",101,191,1299,r2634
p158,Petz Package,7,XS,6kg,"R$ 6.399,00",99,1766,1416,r1457
p159,Retail Package,10,GG,14kg,"R$ 5.464,00",101,1563,1271,r1803
p160,E‑commerce Package,4,XXL,56kg,"R$ 33.411,00",106,1060,1877,r2955
p161,E‑commerce Package,7,S,76kg,"R$ 12.581,00",191,1256,208,r1067
p162,E‑commerce Package,6,XL,46kg,"R$ 28.680,00",7,302,1352,r1671
p163,Petz Package,9,XXL,45kg,"R$ 27.205,00",52,1342,1865,r2414
p164,Retail Package,8,XS,95kg,"R$ 31.860,00",119,161,293,r1520
p165,Petz Package,7,S,43kg,"R$ 34.412,00",129,1316,409,r2127
p166,Retail Package,8,XS,23kg,"R$ 41.184,00",89,1889,751,r1755
p167,E‑commerce Package,7,XL,45kg,"R$ 32.708,00",113,647,673,r2699
p168,E‑commerce Package,8,GG,35kg,"R$ 36.539,00",58,405,1745,r2281
p169,E‑commerce Package,6,M,54kg,"R$ 25.366,00",119,1702,1581,r1919
p170,E‑commerce Package,8,XL,52kg,"R$ 7.641,00",181,1789,813,r1969
p171,Food Package,3,GG,78kg,"R$ 27.916,00",108,1804,1474,r2135
p172,Retail Package,4,L,28kg,"R$ 2.653,00",28,205,249,r2433
p173,E‑commerce Package,3,XXL,27kg,"R$ 47.855,00",104,856,141,r2645
p174,Petz Package,5,S,88kg,"R$ 16.697,00",86,1009,640,r1779
p175,E‑commerce Package,2,GG,65kg,"R$ 23.127,00",177,901,1482,r2748
p176,Retail Package,9,L,50kg,"R$ 8.247,00",63,685,597,r1558
p177,Retail Package,3,S,96kg,"R$ 42.345,00",98,1213,157,r1686
p178,Petz Package,3,GG,17kg,"R$ 9.756,00",116,925,755,r1379
p179,E‑commerce Package,3,XXL,15kg,"R$ 47.028,00",41,1354,417,r1194
p180,Retail Package,7,XXL,82kg,"R$ 47.081,00",147,1698,9,r2380
p181,Retail Package,7,XL,65kg,"R$ 23.138,00",156,1450,1649,r2662
p182,Retail Package,7,M,58kg,"R$ 32.297,00",41,408,53,r2184
p183,Retail Package,7,XL,66kg,"R$ 23.007,00",22,1946,1634,r2900
p184,E‑commerce Package,10,L,65kg,"R$ 31.622,00",130,1999,1484,r1782
p185,E‑commerce Package,2,XS,14kg,"R$ 5.686,00",154,95,906,r1421
p186,E‑commerce Package,1,XS,82kg,"R$ 28.854,00",33,1387,503,r1564
p187,Food Package,10,XL,50kg,"R$ 16.197,00",114,266,930,r1209
p188,E‑commerce Package,3,M,77kg,"R$ 25.248,00",91,1109,968,r2450
p189,E‑commerce Package,5,XS,36kg,"R$ 39.644,00",49,58,1674,r2436
p190,Petz Package,5,GG,86kg,"R$ 48.674,00",185,343,1011,r1666
p191,Petz Package,6,M,36kg,"R$ 19.624,00",18,982,1115,r1698
p192,Food Package,5,XXL,55kg,"R$ 18.197,00",128,1197,804,r2101
p193,E‑commerce Package,3,XS,3kg,"R$ 39.214,00",194,158,1593,r1734
p194,Food Package,2,S,10kg,"R$ 8.492,00",162,817,766,r2209
p195,Retail Package,10,L,19kg,"R$ 42.387,00",81,1965,1440,r1487
p196,Food Package,2,XS,25kg,"R$ 38.057,00",86,1598,874,r1020
p197,Petz Package,5,XXL,33kg,"R$ 1.679,00",152,1277,1689,r1525
p198,Petz Package,4,M,15kg,"R$ 47.420,00",62,933,1835,r2066
p199,Retail Package,10,XL,3kg,"R$ 1.633,00",70,1758,1394,r1985
p200,Food Package,4,XS,18kg,"R$ 14.825,00",166,144,394,r2034
p201,Food Package,4,XXL,5kg,"R$ 21.729,00",145,337,779,r1482
p202,Petz Package,4,XS,89kg,"R$ 16.905,00",94,1770,1952,r2460
p203,Retail Package,2,XS,97kg,"R$ 25.377,00",101,1665,1796,r1096
p204,Food Package,8,S,61kg,"R$ 30.578,00",176,1979,1575,r1035
p205,Food Package,9,L,81kg,"R$ 31.658,00",162,204,256,r1244
p206,Petz Package,5,XXL,69kg,"R$ 36.696,00",1,1675,1211,r1236
p207,E‑commerce Package,8,XL,30kg,"R$ 10.680,00",57,1388,275,r2028
p208,Food Package,8,XL,64kg,"R$ 38.211,00",110,1424,1973,r1745
p209,E‑commerce Package,1,M,25kg,"R$ 4.262,00",10,296,1467,r1214
p210,E‑commerce Package,2,XXL,71kg,"R$ 28.325,00",75,1608,1393,r1567
p211,Food Package,3,S,80kg,"R$ 11.830,00",115,602,1150,r1363
p212,Food Package,7,GG,42kg,"R$ 26.693,00",65,1551,367,r1761
p213,Petz Package,7,XS,50kg,"R$ 11.072,00",148,1246,1294,r2124
p214,Food Package,5,GG,38kg,"R$ 49.767,00",52,1242,169,r1641
p215,Petz Package,5,XXL,64kg,"R$ 17.478,00",67,532,1072,r1905
p216,Food Package,5,XL,20kg,"R$ 15.897,00",4,1311,1569,r1642
p217,E‑commerce Package,10,GG,52kg,"R$ 36.648,00",16,350,1426,r1523
p218,E‑commerce Package,9,XL,3kg,"R$ 15.887,00",176,1647,1962,r2342
p219,Petz Package,7,XXL,4kg,"R$ 24.331,00",149,632,1117,r2726
p220,Petz Package,5,XL,20kg,"R$ 12.032,00",58,308,1273,r1687
p221,Retail Package,4,L,14kg,"R$ 30.219,00",66,483,892,r1865
p222,Retail Package,1,S,60kg,"R$ 20.085,00",183,491,1526,r2982
p223,Food Package,2,L,89kg,"R$ 45.686,00",74,1833,1015,r1911
p224,Petz Package,4,S,38kg,"R$ 7.328,00",69,1291,458,r2327
p225,Retail Package,6,GG,49kg,"R$ 14.811,00",117,149,932,r2119
p226,E‑commerce Package,8,L,60kg,"R$ 20.545,00",41,1838,161,r1965
p227,E‑commerce Package,8,XS,43kg,"R$ 22.420,00",81,1524,998,r2773
p228,Food Package,7,XXL,42kg,"R$ 35.015,00",185,1102,1963,r2836
p229,E‑commerce Package,10,S,88kg,"R$ 19.752,00",6,432,1837,r2068
p230,Retail Package,9,XS,59kg,"R$ 5.873,00",187,544,1766,r2630
p231,Retail Package,7,GG,17kg,"R$ 19.063,00",100,1123,581,r2621
p232,Petz Package,9,L,47kg,"R$ 7.289,00",187,103,792,r2883
p233,Petz Package,9,M,11kg,"R$ 6.596,00",63,215,1631,r2535
p234,E‑commerce Package,5,L,37kg,"R$ 13.791,00",68,1061,106,r1766
p235,E‑commerce Package,6,L,28kg,"R$ 48.209,00",101,488,719,r1150
p236,Retail Package,10,S,47kg,"R$ 40.580,00",101,1549,1365,r2558
p237,Petz Package,5,L,56kg,"R$ 41.477,00",41,1748,279,r2687
p238,Petz Package,8,L,68kg,"R$ 25.333,00",7,1031,516,r1541
p239,Retail Package,3,XS,58kg,"R$ 3.067,00",190,14,606,r2993
p240,Retail Package,5,S,28kg,"R$ 29.145,00",49,1994,1143,r1395
p241,Retail Package,8,M,80kg,"R$ 49.267,00",83,1969,1881,r1131
p242,Food Package,7,XXL,10kg,"R$ 33.874,00",106,190,927,r2030
p243,Retail Package,7,L,44kg,"R$ 1.689,00",81,1360,1003,r2054
p244,Food Package,5,GG,19kg,"R$ 4.030,00",43,1425,365,r1287
p245,E‑commerce Package,6,L,59kg,"R$ 4.680,00",102,1583,1732,r2063
p246,Retail Package,8,XXL,26kg,"R$ 8.806,00",4,813,1604,r2532
p247,E‑commerce Package,4,XXL,90kg,"R$ 17.351,00",30,536,107,r2336
p248,E‑commerce Package,5,XS,24kg,"R$ 26.805,00",151,1558,1643,r1604
p249,Food Package,3,S,26kg,"R$ 2.024,00",149,1965,786,r1017
p250,E‑commerce Package,1,XL,100kg,"R$ 21.688,00",10,1572,896,r2337
p251,E‑commerce Package,10,M,87kg,"R$ 25.135,00",8,315,1327,r1377
p252,Retail Package,1,L,49kg,"R$ 5.617,00",60,1950,1382,r2712
p253,Retail Package,9,XXL,18kg,"R$ 33.648,00",56,257,1383,r2138
p254,Food Package,4,XL,29kg,"R$ 24.614,00",174,1537,1450,r2283
p255,Retail Package,6,XXL,39kg,"R$ 4.463,00",173,392,1813,r1525
p256,E‑commerce Package,3,XXL,40kg,"R$ 23.473,00",33,760,1462,r2999
p257,E‑commerce Package,6,M,78kg,"R$ 35.035,00",14,859,1126,r1186
p258,Petz Package,7,L,40kg,"R$ 13.483,00",58,1641,1773,r2935
p259,Retail Package,8,XS,12kg,"R$ 27.329,00",40,48,122,r2315
p260,Petz Package,1,XS,96kg,"R$ 34.904,00",128,859,1301,r1657
p261,E‑commerce Package,1,L,58kg,"R$ 16.041,00",64,230,1488,r1245
p262,Food Package,7,GG,68kg,"R$ 2.004,00",137,1740,1882,r2369
p263,Petz Package,5,M,72kg,"R$ 16.879,00",67,293,1494,r2546
p264,Retail Package,3,S,78kg,"R$ 27.788,00",197,783,1622,r2007
p265,Food Package,6,M,53kg,"R$ 35.195,00",71,708,944,r1093
p266,Food Package,2,M,24kg,"R$ 225,00",19,513,261,r1606
p267,Food Package,10,GG,92kg,"R$ 45.248,00",27,1394,1814,r2269
p268,Petz Package,6,XXL,31kg,"R$ 7.205,00",147,1296,1689,r2536
p269,Petz Package,10,XS,74kg,"R$ 3.260,00",188,714,1476,r2744
p270,Food Package,3,L,46kg,"R$ 13.125,00",37,370,1010,r1071
p271,E‑commerce Package,2,XL,46kg,"R$ 19.446,00",35,907,704,r1709
p272,Food Package,7,L,68kg,"R$ 456,00",118,380,276,r2896
p273,E‑commerce Package,7,M,98kg,"R$ 777,00",80,1047,1615,r2293
p274,Petz Package,10,M,7kg,"R$ 24.266,00",46,614,979,r2236
p275,Retail Package,9,XL,20kg,"R$ 4.381,00",153,978,1429,r2054
p276,Retail Package,2,XXL,96kg,"R$ 30.406,00",27,706,1362,r2660
p277,Petz Package,10,GG,64kg,"R$ 18.983,00",137,291,1168,r2221
p278,E‑commerce Package,1,XS,37kg,"R$ 20.660,00",122,1261,116,r1849
p279,Petz Package,1,S,13kg,"R$ 9.529,00",132,221,204,r2500
p280,Food Package,4,GG,31kg,"R$ 11.363,00",93,1795,61,r1904
p281,E‑commerce Package,3,XXL,13kg,"R$ 46.368,00",149,350,60,r1334
p282,E‑commerce Package,8,L,24kg,"R$ 47.605,00",59,697,207,r2870
p283,Retail Package,9,L,42kg,"R$ 48.285,00",104,1675,888,r1756
p284,Petz Package,2,M,29kg,"R$ 11.863,00",32,858,688,r2163
p285,Petz Package,4,L,3kg,"R$ 41.425,00",110,1583,1953,r2202
p286,Food Package,10,S,84kg,"R$ 35.539,00",53,1550,112,r2076
p287,Retail Package,8,S,39kg,"R$ 16.873,00",185,891,594,r2340
p288,E‑commerce Package,4,XS,28kg,"R$ 17.165,00",104,334,1849,r1379
p289,Food Package,10,XXL,80kg,"R$ 47.572,00",198,1442,1798,r1197
p290,Food Package,6,M,47kg,"R$ 41.089,00",70,1620,1618,r2103
p291,Petz Package,4,XXL,63kg,"R$ 11.287,00",187,1504,1889,r2366
p292,Retail Package,5,XXL,94kg,"R$ 30.587,00",57,1846,211,r2151
p293,Petz Package,4,XXL,91kg,"R$ 5.388,00",162,131,35,r2682
p294,E‑commerce Package,3,L,56kg,"R$ 29.614,00",13,1955,25,r2808
p295,Petz Package,8,GG,24kg,"R$ 34.123,00",85,121,1635,r2514
p296,Petz Package,1,S,42kg,"R$ 23.518,00",84,382,1313,r1841
p297,Food Package,3,GG,2kg,"R$ 16.925,00",184,1516,852,r1647
p298,E‑commerce Package,8,S,25kg,"R$ 44.546,00",74,835,1644,r1596
p299,Petz Package,1,XXL,45kg,"R$ 26.548,00",64,1294,1398,r2646
p300,Petz Package,2,GG,64kg,"R$ 32.890,00",22,1509,1497,r1564
p301,Retail Package,8,XXL,90kg,"R$ 48.370,00",93,1523,831,r2405
p302,Petz Package,9,XXL,58kg,"R$ 36.534,00",135,1582,568,r2904
p303,Petz Package,3,XXL,92kg,"R$ 44.571,00",80,1970,376,r2881
p304,Food Package,9,XL,91kg,"R$ 20.879,00",97,531,342,r1122
p305,Petz Package,3,XL,55kg,"R$ 40.992,00",29,1675,506,r2513
p306,Petz Package,6,L,87kg,"R$ 3.789,00",183,372,1726,r1458
p307,E‑commerce Package,3,M,72kg,"R$ 43.832,00",175,1396,1800,r1813
p308,Food Package,1,XS,51kg,"R$ 27.380,00",190,1993,1107,r2706
p309,Retail Package,5,M,96kg,"R$ 19.077,00",137,376,1727,r2902
p310,Petz Package,7,XS,37kg,"R$ 28.855,00",110,1368,213,r1864
p311,Retail Package,2,S,29kg,"R$ 5.144,00",67,1984,1725,r2370
p312,Petz Package,1,XXL,26kg,"R$ 7.288,00",77,1306,471,r2398
p313,Retail Package,2,XS,10kg,"R$ 27.706,00",48,777,1036,r1515
p314,Food Package,7,XXL,93kg,"R$ 41.309,00",144,1267,1529,r2415
p315,E‑commerce Package,9,M,90kg,"R$ 16.435,00",79,815,130,r2947
p316,Food Package,1,GG,34kg,"R$ 6.377,00",13,621,855,r1510
p317,Retail Package,1,XL,40kg,"R$ 46.593,00",51,530,818,r1356
p318,Petz Package,1,XS,68kg,"R$ 47.155,00",83,575,468,r2683
p319,Petz Package,1,S,23kg,"R$ 46.039,00",85,164,601,r2810
p320,E‑commerce Package,7,XS,77kg,"R$ 3.624,00",99,670,917,r2105
p321,Petz Package,1,XXL,12kg,"R$ 3.974,00",117,1040,127,r1775
p322,Petz Package,9,M,87kg,"R$ 44.286,00",73,276,1895,r1763
p323,Food Package,7,S,36kg,"R$ 38.627,00",145,877,1323,r1568
p324,E‑commerce Package,6,GG,51kg,"R$ 16.960,00",62,1528,264,r2413
p325,Retail Package,6,XS,89kg,"R$ 2.478,00",116,35,388,r2998
p326,Petz Package,8,XXL,44kg,"R$ 30.087,00",162,1920,1863,r1477
p327,Retail Package,8,XXL,76kg,"R$ 8.323,00",177,1070,1751,r2707
p328,E‑commerce Package,9,XXL,30kg,"R$ 37.727,00",186,451,1580,r2735
p329,Petz Package,3,XXL,26kg,"R$ 17.168,00",149,617,1301,r1556
p330,Retail Package,3,S,11kg,"R$ 23.699,00",93,1133,1210,r2483
p331,Petz Package,6,M,49kg,"R$ 2.553,00",192,1983,1253,r1451
p332,Petz Package,9,L,31kg,"R$ 2.626,00",3,1645,1807,r2556
p333,Retail Package,2,XL,29kg,"R$ 13.066,00",198,1078,1984,r1223
p334,Food Package,7,GG,77kg,"R$ 20.300,00",33,934,1318,r2542
p335,Retail Package,1,S,48kg,"R$ 35.468,00",131,1549,1742,r1527
p336,E‑commerce Package,10,XS,56kg,"R$ 41.297,00",20,1236,228,r1528
p337,E‑commerce Package,1,GG,48kg,"R$ 11.847,00",47,840,85,r1065
p338,Food Package,4,L,77kg,"R$ 1.254,00",164,845,268,r1559
p339,Retail Package,8,S,19kg,"R$ 39.069,00",100,200,1556,r1893
p340,E‑commerce Package,8,XL,99kg,"R$ 39.513,00",35,1220,1301,r2054
p341,Food Package,10,XXL,52kg,"R$ 40.982,00",149,448,956,r1152
p342,Petz Package,2,GG,42kg,"R$ 44.901,00",139,1744,1411,r1808
p343,Retail Package,6,L,31kg,"R$ 10.233,00",66,733,667,r1178
