PickupStop_ID,Address_ID,Route_ID,ScheduledDate,LimitDate,RealOps
110,ad373,r1,11/05/2025 05:00,11/05/2025 12:00,11/05/2025 07:57
111,ad178,r57,02/05/2025 05:00,03/05/2025 04:00,02/05/2025 05:31
112,ad167,r97,09/05/2025 05:00,10/05/2025 04:00,09/05/2025 07:56
113,ad268,r89,05/05/2025 05:00,05/05/2025 22:00,05/05/2025 07:23
114,ad87,r38,05/05/2025 05:00,05/05/2025 18:00,05/05/2025 07:01
115,ad194,r51,03/05/2025 05:00,03/05/2025 11:00,03/05/2025 07:31
116,ad335,r10,02/05/2025 05:00,02/05/2025 10:00,02/05/2025 06:29
117,ad34,r25,03/05/2025 05:00,04/05/2025 01:00,03/05/2025 05:35
118,ad151,r78,09/05/2025 05:00,09/05/2025 22:00,09/05/2025 05:54
119,ad426,r63,04/05/2025 05:00,04/05/2025 21:00,04/05/2025 05:56
120,ad442,r6,05/05/2025 05:00,06/05/2025 00:00,05/05/2025 07:17
121,ad265,r63,06/05/2025 05:00,07/05/2025 11:00,06/05/2025 06:55
122,ad319,r11,03/05/2025 05:00,03/05/2025 11:00,03/05/2025 07:43
123,ad13,r16,11/05/2025 05:00,12/05/2025 03:00,11/05/2025 06:43
124,ad294,r57,06/05/2025 05:00,07/05/2025 05:00,06/05/2025 05:51
125,ad18,r95,09/05/2025 05:00,09/05/2025 23:00,09/05/2025 07:39
126,ad31,r9,07/05/2025 05:00,07/05/2025 14:00,07/05/2025 07:09
127,ad231,r18,01/05/2025 05:00,01/05/2025 20:00,01/05/2025 07:24
128,ad145,r89,06/05/2025 05:00,07/05/2025 06:00,06/05/2025 07:18
129,ad462,r40,01/05/2025 05:00,01/05/2025 23:00,01/05/2025 06:43
130,ad173,r16,01/05/2025 05:00,01/05/2025 09:00,01/05/2025 05:55
131,ad443,r95,10/05/2025 05:00,11/05/2025 06:00,10/05/2025 06:29
132,ad207,r93,01/05/2025 05:00,01/05/2025 15:00,01/05/2025 06:14
133,ad67,r1,08/05/2025 05:00,08/05/2025 23:00,08/05/2025 05:42
134,ad227,r20,04/05/2025 05:00,04/05/2025 22:00,04/05/2025 05:31
135,ad249,r46,08/05/2025 05:00,08/05/2025 16:00,08/05/2025 05:39
136,ad182,r5,07/05/2025 05:00,08/05/2025 07:00,07/05/2025 06:22
137,ad418,r6,03/05/2025 05:00,04/05/2025 05:00,03/05/2025 07:14
138,ad169,r17,11/05/2025 05:00,12/05/2025 07:00,11/05/2025 05:55
139,ad274,r36,06/05/2025 05:00,06/05/2025 16:00,06/05/2025 05:49
140,ad245,r55,01/05/2025 05:00,02/05/2025 10:00,01/05/2025 05:47
141,ad485,r1,11/05/2025 05:00,11/05/2025 17:00,11/05/2025 06:47
142,ad69,r61,11/05/2025 05:00,11/05/2025 21:00,11/05/2025 05:38
143,ad288,r18,01/05/2025 05:00,01/05/2025 10:00,01/05/2025 06:12
144,ad58,r96,01/05/2025 05:00,01/05/2025 23:00,01/05/2025 07:50
145,ad36,r20,10/05/2025 05:00,10/05/2025 16:00,10/05/2025 06:15
146,ad369,r1,11/05/2025 05:00,11/05/2025 19:00,11/05/2025 07:14
147,ad479,r37,07/05/2025 05:00,07/05/2025 23:00,07/05/2025 06:20
148,ad249,r43,08/05/2025 05:00,08/05/2025 09:00,08/05/2025 06:07
149,ad293,r92,10/05/2025 05:00,11/05/2025 06:00,10/05/2025 06:53
150,ad412,r54,03/05/2025 05:00,03/05/2025 13:00,03/05/2025 06:55
151,ad38,r71,05/05/2025 05:00,06/05/2025 07:00,05/05/2025 07:45
152,ad314,r70,03/05/2025 05:00,04/05/2025 07:00,03/05/2025 07:46
153,ad392,r13,07/05/2025 05:00,07/05/2025 20:00,07/05/2025 07:19
154,ad330,r16,04/05/2025 05:00,05/05/2025 02:00,04/05/2025 06:53
155,ad304,r82,07/05/2025 05:00,07/05/2025 19:00,07/05/2025 05:52
156,ad76,r89,10/05/2025 05:00,10/05/2025 19:00,10/05/2025 06:48
157,ad357,r13,06/05/2025 05:00,07/05/2025 05:00,06/05/2025 06:13
158,ad6,r91,09/05/2025 05:00,10/05/2025 02:00,09/05/2025 07:04
159,ad222,r21,05/05/2025 05:00,05/05/2025 20:00,05/05/2025 06:13
160,ad374,r22,05/05/2025 05:00,05/05/2025 11:00,05/05/2025 07:12
161,ad474,r40,04/05/2025 05:00,05/05/2025 10:00,04/05/2025 07:06
162,ad80,r69,03/05/2025 05:00,04/05/2025 00:00,03/05/2025 07:21
163,ad428,r2,08/05/2025 05:00,08/05/2025 13:00,08/05/2025 07:12
164,ad175,r40,03/05/2025 05:00,03/05/2025 16:00,03/05/2025 07:52
165,ad475,r5,05/05/2025 05:00,06/05/2025 07:00,05/05/2025 06:44
166,ad374,r38,07/05/2025 05:00,08/05/2025 11:00,07/05/2025 05:48
167,ad204,r35,05/05/2025 05:00,05/05/2025 22:00,05/05/2025 05:50
168,ad253,r58,08/05/2025 05:00,09/05/2025 09:00,08/05/2025 05:57
169,ad433,r68,04/05/2025 05:00,05/05/2025 01:00,04/05/2025 05:45
170,ad408,r71,11/05/2025 05:00,12/05/2025 06:00,11/05/2025 05:59
171,ad9,r20,09/05/2025 05:00,09/05/2025 16:00,09/05/2025 06:40
172,ad25,r2,09/05/2025 05:00,10/05/2025 11:00,09/05/2025 07:54
173,ad309,r1,01/05/2025 05:00,02/05/2025 02:00,01/05/2025 07:34
174,ad219,r16,02/05/2025 05:00,03/05/2025 01:00,02/05/2025 05:48
175,ad436,r72,11/05/2025 05:00,11/05/2025 10:00,11/05/2025 06:16
176,ad68,r66,02/05/2025 05:00,03/05/2025 04:00,02/05/2025 07:52
177,ad292,r57,09/05/2025 05:00,10/05/2025 04:00,09/05/2025 05:30
178,ad431,r90,01/05/2025 05:00,01/05/2025 23:00,01/05/2025 06:11
179,ad112,r2,05/05/2025 05:00,06/05/2025 06:00,05/05/2025 07:04
180,ad73,r86,10/05/2025 05:00,11/05/2025 06:00,10/05/2025 06:17
181,ad407,r3,11/05/2025 05:00,12/05/2025 00:00,11/05/2025 07:40
182,ad388,r89,03/05/2025 05:00,04/05/2025 09:00,03/05/2025 07:14
183,ad382,r69,01/05/2025 05:00,01/05/2025 17:00,01/05/2025 06:38
184,ad484,r100,10/05/2025 05:00,10/05/2025 12:00,10/05/2025 06:03
185,ad346,r89,10/05/2025 05:00,11/05/2025 01:00,10/05/2025 06:33
186,ad294,r27,10/05/2025 05:00,11/05/2025 00:00,10/05/2025 08:00
187,ad26,r32,07/05/2025 05:00,08/05/2025 11:00,07/05/2025 07:40
188,ad265,r90,10/05/2025 05:00,11/05/2025 04:00,10/05/2025 07:36
189,ad151,r62,06/05/2025 05:00,07/05/2025 09:00,06/05/2025 07:15
190,ad347,r60,05/05/2025 05:00,05/05/2025 13:00,05/05/2025 07:45
191,ad313,r50,07/05/2025 05:00,08/05/2025 05:00,07/05/2025 06:06
192,ad215,r20,10/05/2025 05:00,10/05/2025 17:00,10/05/2025 06:49
193,ad340,r62,06/05/2025 05:00,06/05/2025 19:00,06/05/2025 05:58
194,ad170,r46,09/05/2025 05:00,09/05/2025 13:00,09/05/2025 06:04
195,ad32,r16,09/05/2025 05:00,10/05/2025 02:00,09/05/2025 07:51
196,ad500,r91,04/05/2025 05:00,05/05/2025 00:00,04/05/2025 06:18
197,ad318,r65,11/05/2025 05:00,11/05/2025 09:00,11/05/2025 06:50
198,ad258,r71,04/05/2025 05:00,04/05/2025 17:00,04/05/2025 06:29
199,ad445,r87,05/05/2025 05:00,05/05/2025 19:00,05/05/2025 06:42
200,ad16,r64,03/05/2025 05:00,04/05/2025 02:00,03/05/2025 06:53
201,ad295,r1,02/05/2025 05:00,03/05/2025 07:00,02/05/2025 07:56
202,ad272,r2,07/05/2025 05:00,07/05/2025 13:00,07/05/2025 06:19
203,ad245,r88,01/05/2025 05:00,01/05/2025 19:00,01/05/2025 05:48
204,ad287,r61,03/05/2025 05:00,04/05/2025 09:00,03/05/2025 07:28
205,ad451,r35,02/05/2025 05:00,02/05/2025 11:00,02/05/2025 07:41
206,ad46,r51,02/05/2025 05:00,03/05/2025 00:00,02/05/2025 07:13
207,ad310,r92,08/05/2025 05:00,08/05/2025 12:00,08/05/2025 05:51
208,ad99,r8,07/05/2025 05:00,07/05/2025 09:00,07/05/2025 07:40
209,ad41,r16,02/05/2025 05:00,03/05/2025 07:00,02/05/2025 07:09
210,ad145,r79,02/05/2025 05:00,03/05/2025 06:00,02/05/2025 07:15
211,ad399,r71,08/05/2025 05:00,08/05/2025 18:00,08/05/2025 06:10
212,ad466,r17,07/05/2025 05:00,07/05/2025 16:00,07/05/2025 07:13
213,ad312,r32,04/05/2025 05:00,04/05/2025 15:00,04/05/2025 07:27
214,ad190,r86,01/05/2025 05:00,02/05/2025 07:00,01/05/2025 07:19
215,ad177,r84,02/05/2025 05:00,03/05/2025 08:00,02/05/2025 07:58
216,ad272,r12,05/05/2025 05:00,06/05/2025 01:00,05/05/2025 05:53
217,ad136,r68,07/05/2025 05:00,08/05/2025 07:00,07/05/2025 06:55
218,ad128,r96,06/05/2025 05:00,06/05/2025 22:00,06/05/2025 07:53
219,ad183,r86,05/05/2025 05:00,05/05/2025 19:00,05/05/2025 07:07
220,ad65,r8,04/05/2025 05:00,04/05/2025 13:00,04/05/2025 06:00
221,ad447,r28,02/05/2025 05:00,02/05/2025 15:00,02/05/2025 07:17
222,ad402,r53,06/05/2025 05:00,07/05/2025 10:00,06/05/2025 06:56
223,ad426,r60,06/05/2025 05:00,06/05/2025 19:00,06/05/2025 06:12
224,ad346,r14,10/05/2025 05:00,11/05/2025 11:00,10/05/2025 06:42
225,ad78,r84,08/05/2025 05:00,09/05/2025 04:00,08/05/2025 07:32
226,ad412,r38,11/05/2025 05:00,12/05/2025 00:00,11/05/2025 06:31
227,ad214,r17,05/05/2025 05:00,06/05/2025 05:00,05/05/2025 06:02
228,ad439,r75,09/05/2025 05:00,10/05/2025 07:00,09/05/2025 06:32
229,ad88,r86,09/05/2025 05:00,10/05/2025 09:00,09/05/2025 06:40
230,ad326,r55,09/05/2025 05:00,10/05/2025 02:00,09/05/2025 07:50
231,ad16,r7,03/05/2025 05:00,04/05/2025 10:00,03/05/2025 06:23
232,ad258,r55,08/05/2025 05:00,08/05/2025 16:00,08/05/2025 06:58
233,ad331,r33,09/05/2025 05:00,10/05/2025 05:00,09/05/2025 05:50
234,ad126,r70,11/05/2025 05:00,11/05/2025 22:00,11/05/2025 06:59
235,ad214,r75,04/05/2025 05:00,05/05/2025 02:00,04/05/2025 06:39
236,ad155,r11,11/05/2025 05:00,11/05/2025 22:00,11/05/2025 07:04
237,ad15,r98,04/05/2025 05:00,05/05/2025 09:00,04/05/2025 07:40
238,ad210,r94,10/05/2025 05:00,10/05/2025 12:00,10/05/2025 05:59
239,ad424,r21,03/05/2025 05:00,03/05/2025 19:00,03/05/2025 06:50
240,ad24,r37,02/05/2025 05:00,03/05/2025 11:00,02/05/2025 06:34
241,ad293,r21,06/05/2025 05:00,06/05/2025 09:00,06/05/2025 05:39
242,ad300,r10,09/05/2025 05:00,10/05/2025 10:00,09/05/2025 07:06
243,ad418,r77,01/05/2025 05:00,01/05/2025 13:00,01/05/2025 07:18
244,ad72,r94,09/05/2025 05:00,09/05/2025 09:00,09/05/2025 05:52
245,ad389,r42,09/05/2025 05:00,09/05/2025 19:00,09/05/2025 07:46
246,ad16,r70,04/05/2025 05:00,05/05/2025 11:00,04/05/2025 05:37
247,ad387,r84,06/05/2025 05:00,06/05/2025 23:00,06/05/2025 06:31
248,ad3,r100,10/05/2025 05:00,11/05/2025 02:00,10/05/2025 05:58
249,ad496,r22,10/05/2025 05:00,11/05/2025 05:00,10/05/2025 06:08
250,ad411,r6,06/05/2025 05:00,06/05/2025 23:00,06/05/2025 05:42
251,ad184,r14,10/05/2025 05:00,11/05/2025 00:00,10/05/2025 07:28
252,ad176,r48,02/05/2025 05:00,02/05/2025 11:00,02/05/2025 07:24
253,ad54,r99,03/05/2025 05:00,04/05/2025 06:00,03/05/2025 07:22
254,ad94,r2,05/05/2025 05:00,05/05/2025 11:00,05/05/2025 06:46
255,ad415,r62,03/05/2025 05:00,04/05/2025 02:00,03/05/2025 05:34
256,ad375,r71,07/05/2025 05:00,07/05/2025 23:00,07/05/2025 07:57
257,ad190,r56,10/05/2025 05:00,11/05/2025 03:00,10/05/2025 06:32
258,ad150,r5,05/05/2025 05:00,05/05/2025 18:00,05/05/2025 06:55
259,ad202,r69,02/05/2025 05:00,02/05/2025 13:00,02/05/2025 06:05
260,ad104,r41,09/05/2025 05:00,10/05/2025 07:00,09/05/2025 06:19
261,ad288,r85,06/05/2025 05:00,07/05/2025 02:00,06/05/2025 07:27
262,ad422,r46,08/05/2025 05:00,08/05/2025 20:00,08/05/2025 05:32
263,ad92,r4,08/05/2025 05:00,08/05/2025 09:00,08/05/2025 06:01
264,ad45,r44,06/05/2025 05:00,06/05/2025 10:00,06/05/2025 07:40
265,ad358,r21,07/05/2025 05:00,08/05/2025 07:00,07/05/2025 06:10
266,ad279,r44,07/05/2025 05:00,07/05/2025 20:00,07/05/2025 07:23
267,ad464,r55,07/05/2025 05:00,07/05/2025 18:00,07/05/2025 06:46
268,ad71,r55,03/05/2025 05:00,03/05/2025 14:00,03/05/2025 05:51
269,ad480,r96,06/05/2025 05:00,07/05/2025 07:00,06/05/2025 06:44
270,ad30,r57,05/05/2025 05:00,05/05/2025 10:00,05/05/2025 07:08
271,ad156,r70,04/05/2025 05:00,05/05/2025 01:00,04/05/2025 07:08
272,ad119,r35,03/05/2025 05:00,03/05/2025 10:00,03/05/2025 06:56
273,ad348,r81,10/05/2025 05:00,11/05/2025 08:00,10/05/2025 06:35
274,ad234,r50,08/05/2025 05:00,08/05/2025 12:00,08/05/2025 07:18
275,ad272,r76,09/05/2025 05:00,09/05/2025 20:00,09/05/2025 07:12
276,ad130,r46,08/05/2025 05:00,08/05/2025 11:00,08/05/2025 06:37
277,ad205,r3,06/05/2025 05:00,07/05/2025 07:00,06/05/2025 07:21
278,ad73,r62,11/05/2025 05:00,11/05/2025 11:00,11/05/2025 07:46
279,ad309,r55,04/05/2025 05:00,04/05/2025 22:00,04/05/2025 06:01
280,ad71,r40,11/05/2025 05:00,12/05/2025 11:00,11/05/2025 06:54
281,ad477,r16,11/05/2025 05:00,12/05/2025 08:00,11/05/2025 07:15
282,ad285,r82,06/05/2025 05:00,07/05/2025 06:00,06/05/2025 07:10
283,ad433,r74,06/05/2025 05:00,07/05/2025 10:00,06/05/2025 06:45
284,ad402,r55,05/05/2025 05:00,06/05/2025 03:00,05/05/2025 07:43
285,ad115,r87,06/05/2025 05:00,07/05/2025 02:00,06/05/2025 06:01
286,ad490,r98,06/05/2025 05:00,07/05/2025 00:00,06/05/2025 07:11
287,ad194,r33,01/05/2025 05:00,02/05/2025 08:00,01/05/2025 06:27
288,ad142,r35,05/05/2025 05:00,06/05/2025 01:00,05/05/2025 07:29
289,ad266,r11,06/05/2025 05:00,07/05/2025 01:00,06/05/2025 05:45
290,ad226,r16,10/05/2025 05:00,11/05/2025 09:00,10/05/2025 06:41
291,ad377,r31,06/05/2025 05:00,06/05/2025 21:00,06/05/2025 07:35
292,ad112,r10,08/05/2025 05:00,08/05/2025 18:00,08/05/2025 05:48
293,ad214,r9,09/05/2025 05:00,10/05/2025 08:00,09/05/2025 06:35
294,ad471,r71,01/05/2025 05:00,02/05/2025 02:00,01/05/2025 06:32
295,ad448,r56,10/05/2025 05:00,10/05/2025 14:00,10/05/2025 07:52
296,ad438,r95,10/05/2025 05:00,11/05/2025 07:00,10/05/2025 07:39
297,ad13,r32,07/05/2025 05:00,08/05/2025 08:00,07/05/2025 05:57
298,ad197,r59,08/05/2025 05:00,08/05/2025 14:00,08/05/2025 07:48
299,ad292,r91,08/05/2025 05:00,08/05/2025 13:00,08/05/2025 06:24
300,ad324,r8,03/05/2025 05:00,04/05/2025 09:00,03/05/2025 07:12
301,ad342,r5,06/05/2025 05:00,06/05/2025 23:00,06/05/2025 06:14
302,ad429,r15,06/05/2025 05:00,06/05/2025 09:00,06/05/2025 07:34
303,ad314,r32,08/05/2025 05:00,09/05/2025 11:00,08/05/2025 07:55
304,ad386,r34,02/05/2025 05:00,02/05/2025 23:00,02/05/2025 07:33
305,ad326,r31,10/05/2025 05:00,10/05/2025 20:00,10/05/2025 05:38
306,ad115,r79,05/05/2025 05:00,05/05/2025 16:00,05/05/2025 06:42
307,ad335,r47,02/05/2025 05:00,03/05/2025 00:00,02/05/2025 07:49
308,ad82,r62,07/05/2025 05:00,07/05/2025 16:00,07/05/2025 07:22
309,ad480,r91,01/05/2025 05:00,01/05/2025 10:00,01/05/2025 07:41
310,ad195,r32,10/05/2025 05:00,10/05/2025 09:00,10/05/2025 06:52
311,ad405,r58,10/05/2025 05:00,10/05/2025 12:00,10/05/2025 06:56
312,ad358,r27,04/05/2025 05:00,04/05/2025 23:00,04/05/2025 06:18
313,ad445,r94,10/05/2025 05:00,11/05/2025 09:00,10/05/2025 06:54
314,ad11,r84,11/05/2025 05:00,11/05/2025 18:00,11/05/2025 08:00
315,ad15,r55,11/05/2025 05:00,12/05/2025 00:00,11/05/2025 07:43
316,ad487,r25,03/05/2025 05:00,04/05/2025 03:00,03/05/2025 06:10
317,ad54,r72,10/05/2025 05:00,11/05/2025 11:00,10/05/2025 05:50
318,ad27,r80,02/05/2025 05:00,03/05/2025 10:00,02/05/2025 07:11
319,ad70,r38,05/05/2025 05:00,05/05/2025 12:00,05/05/2025 07:08
320,ad443,r58,11/05/2025 05:00,12/05/2025 08:00,11/05/2025 06:06
321,ad341,r32,10/05/2025 05:00,10/05/2025 16:00,10/05/2025 06:20
322,ad19,r87,10/05/2025 05:00,10/05/2025 21:00,10/05/2025 06:41
323,ad215,r13,09/05/2025 05:00,09/05/2025 23:00,09/05/2025 07:16
324,ad460,r17,11/05/2025 05:00,11/05/2025 12:00,11/05/2025 07:54
325,ad391,r55,04/05/2025 05:00,05/05/2025 03:00,04/05/2025 07:10
326,ad335,r21,03/05/2025 05:00,04/05/2025 06:00,03/05/2025 07:57
327,ad169,r23,04/05/2025 05:00,04/05/2025 09:00,04/05/2025 06:41
328,ad281,r71,06/05/2025 05:00,07/05/2025 02:00,06/05/2025 06:27
329,ad400,r69,04/05/2025 05:00,04/05/2025 13:00,04/05/2025 07:29
330,ad33,r15,11/05/2025 05:00,11/05/2025 09:00,11/05/2025 06:59
331,ad398,r22,02/05/2025 05:00,03/05/2025 09:00,02/05/2025 06:24
