Address_ID,Address,Number,Neighborhood,City,Latitude,Longitude,PostalCode
ad66,Rua Paraíso,7439,Ipanema,São Paulo,-23.558785,-46.622661,53614618
ad67,Travessa Oliveiras,6843,Boa Viagem,Belo Horizonte,-19.927088,-43.980578,63016297
ad68,Estrada Primaveras,4309,Boa Viagem,Recife,-8.085776,-34.828266,37907547
ad69,Estrada Lavandas,4032,Vila Madalena,Curitiba,-25.448507,-49.253246,37260011
ad70,Estrada Primaveras,8953,Mooca,Porto Alegre,-30.031912,-51.199516,31822504
ad71,Rua Primaveras,9148,Centro,São Paulo,-23.533367,-46.639606,40194114
ad72,Av. Acácias,8509,Vila Madalena,Goiânia,-16.667836,-49.267713,25479739
ad73,Estrada Paraíso,7397,Guaianases,São Paulo,-23.516927,-46.625173,02445125
ad74,Estrada Paineiras,7650,Liberdade,Goiânia,-16.654242,-49.30032,93617601
ad75,Av. Jardins,1114,Copacabana,Curitiba,-25.397411,-49.217359,72038421
ad76,Estrada Paineiras,123,Mooca,Rio de Janeiro,-22.953071,-43.16634,67782290
ad77,Travessa Margaridas,9775,Ipanema,São Paulo,-23.546417,-46.588147,34360922
ad78,Av. Palmeiras,4717,Jardim América,Salvador,-13.024495,-38.529821,28666387
ad79,Rua Lavandas,8294,Bela Vista,Goiânia,-16.72185,-49.23246,03404323
ad80,Av. Jardins,5066,Guaianases,Salvador,-12.990057,-38.471572,50522292
ad81,Rua Palmeiras,4911,Bela Vista,Belo Horizonte,-19.928154,-43.91669,43617701
ad82,Travessa Cedros,3176,Centro,São Paulo,-23.597133,-46.637335,00317639
ad83,Estrada Ipês,1959,Guaianases,Porto Alegre,-30.015938,-51.267344,52656716
ad84,Av. Flores,7206,Copacabana,São Paulo,-23.533158,-46.63378,09391380
ad85,Estrada Paraíso,8720,Jardim América,São Paulo,-23.573488,-46.681243,77031402
ad86,Estrada Alecrins,4123,Centro,Salvador,-12.933711,-38.456627,22494453
ad87,Travessa Paraíso,181,Bela Vista,Recife,-8.010558,-34.926915,80307727
ad88,Av. Alecrins,6202,Boa Viagem,Curitiba,-25.432867,-49.285373,86818295
ad89,Estrada Flores,7876,Mooca,Rio de Janeiro,-22.898352,-43.173787,93322107
ad90,Travessa Paineiras,9402,Boa Viagem,Porto Alegre,-30.07174,-51.200778,03811624
ad91,Estrada Flores,7825,Mooca,São Paulo,-23.584628,-46.654958,65232447
ad92,Rua Paraíso,8471,Boa Viagem,Porto Alegre,-30.077807,-51.193019,22238242
ad93,Travessa Orquídeas,2906,Copacabana,Porto Alegre,-30.002916,-51.189676,89758641
ad94,Rua Paraíso,3262,Copacabana,São Paulo,-23.568069,-46.643386,33422096
ad95,Travessa Alecrins,4627,Centro,Rio de Janeiro,-22.865773,-43.129913,60611705
ad96,Av. Paineiras,5611,Copacabana,Recife,-8.033786,-34.923029,84052283
ad97,Rua Paraíso,1507,Vila Madalena,Campinas,-22.891699,-47.046439,18535651
ad98,Estrada Limoeiros,9710,Vila Madalena,Salvador,-12.993715,-38.518166,26242148
ad99,Estrada Alecrins,5648,Liberdade,Belo Horizonte,-19.885518,-43.892878,04752446
ad100,Av. Jardins,3101,Centro,Recife,-8.07251,-34.833144,01041023
ad101,Rua Ipês,4183,Boa Viagem,São Paulo,-23.590827,-46.647005,95847104
ad102,Av. Primaveras,8689,Liberdade,Belo Horizonte,-19.899595,-43.932189,73507817
ad103,Estrada Cedros,7701,Jardim América,Belo Horizonte,-19.926942,-43.891899,16326892
ad104,Estrada Orquídeas,8159,Vila Madalena,São Paulo,-23.593495,-46.680157,62297089
ad105,Travessa Limoeiros,6648,Vila Madalena,Curitiba,-25.457677,-49.28371,47034933
ad106,Travessa Margaridas,8946,Vila Madalena,Porto Alegre,-30.066979,-51.259344,92596994
ad107,Estrada Paineiras,4636,Centro,Rio de Janeiro,-22.929078,-43.201887,58113078
ad108,Rua Paineiras,6837,Boa Viagem,São Paulo,-23.542897,-46.655445,57003190
ad109,Rua Jardins,7705,Jardim América,Recife,-8.059217,-34.887452,45275371
ad110,Av. Primaveras,6039,Mooca,Rio de Janeiro,-22.862575,-43.183919,23056894
ad111,Estrada Ipês,9487,Jardim América,São Paulo,-23.588299,-46.631658,12416999
ad112,Travessa Paineiras,8440,Liberdade,Curitiba,-25.477772,-49.24358,34537069
ad113,Estrada Oliveiras,1754,Boa Viagem,Porto Alegre,-30.005117,-51.199066,43644449
ad114,Av. Horizonte,4129,Vila Madalena,Belo Horizonte,-19.890952,-43.966116,43165355
ad115,Estrada Limoeiros,6760,Jardim América,Salvador,-12.983276,-38.49738,18352653
ad116,Av. Cedros,3766,Bela Vista,Salvador,-12.991199,-38.457655,04109423
ad117,Av. Paraíso,1127,Vila Madalena,Fortaleza,-3.780853,-38.477508,09465561
ad118,Av. Paraíso,907,Centro,Recife,-8.078428,-34.88486,89909915
ad119,Av. Margaridas,94,Boa Viagem,Salvador,-12.993897,-38.48048,32462309
ad120,Av. Paineiras,6236,Copacabana,Belo Horizonte,-19.920725,-43.93864,13831908
ad121,Travessa Limoeiros,6878,Copacabana,Recife,-8.023188,-34.878106,58482040
ad122,Av. Paraíso,2110,Bela Vista,Campinas,-22.946105,-47.090686,16872985
ad123,Estrada Acácias,5861,Centro,Fortaleza,-3.727477,-38.50299,05448078
ad124,Rua Horizonte,8195,Jardim América,Recife,-8.030867,-34.850484,07886040
ad125,Travessa Alecrins,720,Centro,Fortaleza,-3.692901,-38.479207,94067403
ad126,Rua Limoeiros,8133,Ipanema,Rio de Janeiro,-22.87526,-43.151541,64582479
ad127,Travessa Horizonte,9980,Vila Madalena,São Paulo,-23.545542,-46.589182,36234014
ad128,Travessa Margaridas,737,Liberdade,São Paulo,-23.551355,-46.583749,82371290
ad129,Rua Primaveras,7901,Jardim América,São Paulo,-23.53398,-46.676945,77236881
ad130,Rua Acácias,4793,Centro,Belo Horizonte,-19.963472,-43.919875,06906380
ad131,Travessa Paineiras,2717,Centro,São Paulo,-23.559445,-46.630257,89912142
ad132,Travessa Flores,9709,Ipanema,Campinas,-22.904902,-47.040242,11576218
ad133,Estrada Limoeiros,6754,Bela Vista,Salvador,-13.01278,-38.481659,54153188
ad134,Rua Acácias,2681,Mooca,Campinas,-22.918075,-47.027437,60729893
ad135,Av. Margaridas,1442,Ipanema,Salvador,-13.007933,-38.454671,51720809
ad136,Av. Cedros,8665,Vila Madalena,Curitiba,-25.388161,-49.253101,47281177
ad137,Av. Margaridas,6252,Boa Viagem,Salvador,-12.940122,-38.495845,77613733
ad138,Estrada Lavandas,5949,Mooca,Salvador,-12.963515,-38.46467,14999152
ad139,Av. Horizonte,4254,Guaianases,Goiânia,-16.714287,-49.295075,78171648
ad140,Av. Paineiras,3492,Boa Viagem,Recife,-8.041155,-34.879056,24490357
ad141,Estrada Ipês,5797,Guaianases,Recife,-8.088769,-34.862628,99245471
ad142,Travessa Horizonte,3485,Mooca,Curitiba,-25.387329,-49.275798,18198211
ad143,Av. Cedros,7808,Vila Madalena,Campinas,-22.871849,-47.01623,04621455
ad144,Estrada Ipês,5183,Liberdade,Campinas,-22.864258,-47.110716,19542286
ad145,Travessa Primaveras,9756,Copacabana,Salvador,-12.950539,-38.454037,51964022
ad146,Rua Margaridas,8477,Copacabana,São Paulo,-23.545601,-46.641742,06149443
ad147,Estrada Paraíso,7511,Mooca,Recife,-8.089265,-34.921759,96601550
ad148,Rua Ipês,4211,Liberdade,Goiânia,-16.709382,-49.302373,71505885
ad149,Av. Ipês,296,Ipanema,Salvador,-12.991148,-38.47842,44223394
ad150,Av. Acácias,3686,Mooca,Rio de Janeiro,-22.874752,-43.124364,52545271
ad151,Travessa Primaveras,1278,Centro,Porto Alegre,-30.075124,-51.264256,21756616
ad152,Travessa Ipês,137,Liberdade,Curitiba,-25.397894,-49.314393,31318083
ad153,Estrada Paraíso,4291,Bela Vista,Campinas,-22.921713,-47.082231,08009389
ad154,Estrada Paineiras,986,Ipanema,Belo Horizonte,-19.910052,-43.912884,45806332
ad155,Travessa Paineiras,393,Mooca,São Paulo,-23.577615,-46.655018,79550354
ad156,Travessa Acácias,1752,Centro,Belo Horizonte,-19.885815,-43.912928,08495441
ad157,Travessa Paraíso,1428,Centro,Curitiba,-25.430106,-49.247232,63241783
ad158,Rua Horizonte,54,Boa Viagem,Fortaleza,-3.741977,-38.571645,87171379
ad159,Estrada Jardins,4748,Mooca,Curitiba,-25.46252,-49.230239,67597242
ad160,Estrada Limoeiros,1147,Boa Viagem,Recife,-8.027477,-34.846697,11911683
ad161,Av. Cedros,8308,Mooca,Campinas,-22.946562,-47.049706,64978305
ad162,Travessa Palmeiras,4151,Jardim América,Rio de Janeiro,-22.921156,-43.205088,03814226
ad163,Av. Ipês,8674,Vila Madalena,Porto Alegre,-30.026426,-51.215899,77523091
ad164,Rua Palmeiras,9650,Ipanema,Fortaleza,-3.683398,-38.56294,79717760
ad165,Rua Horizonte,1721,Ipanema,Goiânia,-16.728791,-49.242038,06169180
ad166,Av. Ipês,2197,Liberdade,São Paulo,-23.524827,-46.660817,19345920
ad167,Travessa Paraíso,6420,Bela Vista,Recife,-8.062809,-34.880686,39528297
ad168,Travessa Paraíso,7160,Bela Vista,Belo Horizonte,-19.877852,-43.944721,31665126
ad169,Estrada Alecrins,6205,Ipanema,Goiânia,-16.645745,-49.234191,08349866
ad170,Av. Oliveiras,523,Boa Viagem,Fortaleza,-3.685201,-38.522594,77708651
ad171,Estrada Orquídeas,6187,Bela Vista,São Paulo,-23.513042,-46.610207,25602401
ad172,Av. Alecrins,59,Centro,Campinas,-22.884642,-47.105648,10399852
ad173,Av. Cedros,6226,Ipanema,Recife,-8.035326,-34.890037,26233003
ad174,Estrada Primaveras,427,Vila Madalena,Goiânia,-16.719047,-49.298643,59687719
ad175,Travessa Flores,842,Guaianases,Curitiba,-25.395433,-49.220897,66960120
ad176,Av. Flores,657,Liberdade,Porto Alegre,-30.077028,-51.235741,24353236
ad177,Av. Paineiras,607,Guaianases,Campinas,-22.926665,-47.071955,64143068
ad178,Av. Cedros,7641,Boa Viagem,São Paulo,-23.592934,-46.585011,95530536
ad179,Rua Limoeiros,7654,Mooca,São Paulo,-23.548961,-46.599426,18591068
ad180,Av. Paineiras,5348,Jardim América,Porto Alegre,-30.007874,-51.267639,49179175
ad181,Rua Lavandas,943,Vila Madalena,Campinas,-22.949245,-47.031564,21009754
ad182,Travessa Paraíso,3917,Jardim América,Porto Alegre,-30.031133,-51.206651,13293622
ad183,Av. Orquídeas,4227,Jardim América,Goiânia,-16.722914,-49.274749,19010851
ad184,Estrada Cedros,7652,Mooca,Belo Horizonte,-19.896192,-43.911813,73438852
ad185,Rua Paraíso,412,Copacabana,Porto Alegre,-30.056555,-51.172627,13956813
ad186,Av. Lavandas,4179,Mooca,Goiânia,-16.705215,-49.291992,08886063
ad187,Rua Ipês,6925,Mooca,Fortaleza,-3.746712,-38.501215,90041137
ad188,Rua Orquídeas,8034,Copacabana,Fortaleza,-3.705239,-38.515889,73889659
ad189,Travessa Orquídeas,5246,Vila Madalena,Rio de Janeiro,-22.862412,-43.124026,85725032
ad190,Travessa Margaridas,5366,Copacabana,Goiânia,-16.690363,-49.284657,71528572
ad191,Travessa Alecrins,689,Guaianases,Porto Alegre,-30.042127,-51.262037,94287453
ad192,Estrada Limoeiros,5439,Boa Viagem,Campinas,-22.915851,-47.03634,37105555
ad193,Estrada Oliveiras,1700,Guaianases,Recife,-8.021067,-34.845571,74934920
ad194,Av. Acácias,4072,Boa Viagem,São Paulo,-23.542288,-46.62012,67610113
ad195,Travessa Cedros,3318,Guaianases,Porto Alegre,-30.00869,-51.186056,17056085
ad196,Av. Orquídeas,7763,Mooca,Curitiba,-25.447683,-49.239033,28804356
ad197,Rua Alecrins,7033,Centro,Recife,-8.040264,-34.856114,10992564
ad198,Av. Lavandas,2543,Liberdade,Campinas,-22.859231,-47.035617,56169110
ad199,Rua Paraíso,41,Vila Madalena,Curitiba,-25.434333,-49.218051,08568294
ad200,Av. Oliveiras,2098,Jardim América,Porto Alegre,-29.984691,-51.177267,39569036
ad201,Estrada Lavandas,1112,Bela Vista,Belo Horizonte,-19.919613,-43.904058,17319534
ad202,Travessa Flores,388,Vila Madalena,Belo Horizonte,-19.912376,-43.904623,11224742
ad203,Av. Limoeiros,4158,Boa Viagem,Belo Horizonte,-19.884344,-43.937371,71075764
ad204,Travessa Ipês,5529,Vila Madalena,Goiânia,-16.679145,-49.265262,28034474
ad205,Av. Palmeiras,56,Boa Viagem,Salvador,-12.929675,-38.524657,36672580
ad206,Av. Paraíso,9721,Jardim América,Rio de Janeiro,-22.875745,-43.142684,25610158
ad207,Rua Palmeiras,3729,Bela Vista,Campinas,-22.929075,-47.061584,40392272
ad208,Travessa Palmeiras,7178,Copacabana,Fortaleza,-3.740444,-38.509614,97426293
ad209,Av. Primaveras,3145,Bela Vista,Campinas,-22.888076,-47.083925,01889038
ad210,Estrada Limoeiros,8833,Liberdade,Goiânia,-16.735354,-49.260001,95495132
ad211,Travessa Margaridas,4559,Boa Viagem,Curitiba,-25.443688,-49.275001,79495711
ad212,Estrada Cedros,6893,Boa Viagem,Porto Alegre,-29.9978,-51.231066,03711609
ad213,Travessa Limoeiros,6386,Guaianases,Fortaleza,-3.774872,-38.481043,26536108
ad214,Rua Paineiras,4148,Bela Vista,Porto Alegre,-30.048652,-51.181226,09454811
ad215,Av. Margaridas,373,Centro,Rio de Janeiro,-22.883828,-43.180358,58347436
ad216,Travessa Flores,9427,Centro,São Paulo,-23.585771,-46.664229,31591668
ad217,Travessa Ipês,7003,Ipanema,Rio de Janeiro,-22.917366,-43.176141,29401711
ad218,Av. Lavandas,7529,Bela Vista,Recife,-8.081641,-34.859407,79421755
ad219,Estrada Orquídeas,2678,Bela Vista,Porto Alegre,-29.987891,-51.244362,20753875
ad220,Travessa Margaridas,134,Liberdade,Salvador,-12.974406,-38.488777,62174617
ad221,Estrada Paraíso,3058,Boa Viagem,Fortaleza,-3.702287,-38.561128,08632302
ad222,Av. Oliveiras,8774,Jardim América,Fortaleza,-3.737821,-38.524468,25696023
ad223,Av. Primaveras,5435,Bela Vista,Belo Horizonte,-19.874707,-43.968549,91897211
ad224,Rua Paineiras,9475,Mooca,São Paulo,-23.548242,-46.611445,17676588
ad225,Rua Margaridas,2442,Centro,Curitiba,-25.408597,-49.310922,96299808
ad226,Av. Orquídeas,7480,Ipanema,Porto Alegre,-30.021534,-51.210255,82666548
ad227,Rua Oliveiras,7502,Ipanema,Curitiba,-25.399775,-49.303111,02287361
ad228,Av. Acácias,6658,Mooca,Porto Alegre,-30.059042,-51.233113,06735147
ad229,Rua Oliveiras,1158,Jardim América,Salvador,-12.995238,-38.541688,31778735
ad230,Travessa Ipês,3459,Jardim América,Goiânia,-16.670233,-49.254171,24330227
ad231,Travessa Acácias,8044,Boa Viagem,Salvador,-12.993329,-38.521733,95962538
ad232,Rua Limoeiros,5099,Jardim América,Recife,-8.003915,-34.909531,42255295
ad233,Estrada Cedros,7484,Bela Vista,Rio de Janeiro,-22.94349,-43.181116,18908375
ad234,Travessa Jardins,7991,Ipanema,São Paulo,-23.522847,-46.594852,93287534
ad235,Av. Alecrins,6728,Centro,Porto Alegre,-30.00681,-51.1974,55445695
ad236,Estrada Cedros,1748,Copacabana,Belo Horizonte,-19.963696,-43.919054,39388627
ad237,Rua Flores,4916,Jardim América,Goiânia,-16.710825,-49.247585,32605950
ad238,Av. Ipês,7286,Ipanema,Belo Horizonte,-19.956066,-43.916156,09144461
ad239,Travessa Horizonte,3817,Mooca,Salvador,-12.990707,-38.510652,62819211
ad240,Av. Alecrins,1492,Bela Vista,Porto Alegre,-29.997784,-51.174661,97304974
ad241,Travessa Limoeiros,4640,Guaianases,Rio de Janeiro,-22.892729,-43.22247,90806475
ad242,Travessa Alecrins,9580,Bela Vista,Belo Horizonte,-19.899224,-43.953947,66343879
ad243,Av. Alecrins,2006,Vila Madalena,Goiânia,-16.667822,-49.265915,36310385
ad244,Estrada Acácias,7538,Guaianases,Salvador,-12.973162,-38.549272,57541895
ad245,Av. Oliveiras,1135,Bela Vista,Goiânia,-16.673774,-49.288143,13707550
ad246,Travessa Limoeiros,4786,Boa Viagem,Salvador,-12.971936,-38.544908,96665337
ad247,Estrada Flores,2274,Guaianases,Recife,-8.051875,-34.890975,81161986
ad248,Estrada Primaveras,2060,Mooca,Fortaleza,-3.733476,-38.548461,78743029
ad249,Rua Orquídeas,2267,Centro,São Paulo,-23.570965,-46.636287,28438204
ad250,Travessa Jardins,4489,Copacabana,Fortaleza,-3.686769,-38.511581,74342490
ad251,Av. Flores,7368,Ipanema,Recife,-8.056244,-34.845579,87873775
ad252,Av. Margaridas,2613,Mooca,São Paulo,-23.597145,-46.657856,02287271
ad253,Av. Cedros,8782,Mooca,Belo Horizonte,-19.945636,-43.894136,28080624
ad254,Estrada Lavandas,2240,Vila Madalena,Goiânia,-16.640704,-49.21704,60863746
ad255,Av. Lavandas,5368,Boa Viagem,Goiânia,-16.719744,-49.270242,92485823
ad256,Estrada Horizonte,5833,Ipanema,Porto Alegre,-30.084404,-51.257996,97003162
ad257,Travessa Alecrins,997,Centro,Salvador,-12.974911,-38.523556,38775880
ad258,Estrada Paraíso,5079,Guaianases,Curitiba,-25.478275,-49.230317,94262860
ad259,Estrada Cedros,2467,Copacabana,Campinas,-22.904086,-47.029626,73623362
ad260,Estrada Palmeiras,4301,Copacabana,São Paulo,-23.545912,-46.679665,73694202
ad261,Travessa Palmeiras,9677,Bela Vista,Curitiba,-25.398888,-49.282786,56623906
ad262,Travessa Palmeiras,1610,Centro,Belo Horizonte,-19.880071,-43.907239,52973001
ad263,Estrada Margaridas,3612,Boa Viagem,Campinas,-22.85793,-47.082916,60139567
ad264,Travessa Lavandas,7526,Ipanema,São Paulo,-23.523895,-46.662943,84200255
ad265,Rua Lavandas,2496,Jardim América,Curitiba,-25.440565,-49.286686,12596955
ad266,Travessa Ipês,4834,Liberdade,Recife,-8.028248,-34.865927,48373967
ad267,Rua Paraíso,7421,Guaianases,Rio de Janeiro,-22.86485,-43.173957,32483889
ad268,Av. Palmeiras,4500,Centro,Rio de Janeiro,-22.933988,-43.151429,86677195
ad269,Travessa Palmeiras,6408,Bela Vista,Belo Horizonte,-19.900341,-43.90632,03360961
ad270,Av. Primaveras,6347,Guaianases,São Paulo,-23.566432,-46.663576,99183145
ad271,Av. Horizonte,5252,Bela Vista,Goiânia,-16.677802,-49.234299,92454296
ad272,Estrada Alecrins,7558,Centro,Porto Alegre,-30.036022,-51.175902,31150332
ad273,Rua Acácias,8267,Mooca,Fortaleza,-3.724148,-38.571679,54873820
ad274,Rua Jardins,3448,Vila Madalena,Recife,-8.035292,-34.899621,39191995
ad275,Rua Margaridas,6491,Copacabana,Goiânia,-16.714255,-49.281363,19275532
ad276,Travessa Jardins,8919,Copacabana,Goiânia,-16.65708,-49.294544,35782936
ad277,Rua Palmeiras,407,Boa Viagem,Rio de Janeiro,-22.873648,-43.210779,68482298
ad278,Av. Acácias,5509,Centro,Belo Horizonte,-19.929839,-43.921335,19033537
ad279,Estrada Margaridas,8494,Centro,Fortaleza,-3.730138,-38.551787,11314020
ad280,Av. Primaveras,6475,Guaianases,Curitiba,-25.420098,-49.310126,48479316
ad281,Travessa Flores,2716,Ipanema,Goiânia,-16.673406,-49.240361,29938941
ad282,Rua Acácias,1409,Guaianases,Fortaleza,-3.770772,-38.576597,32795499
ad283,Av. Paineiras,4219,Boa Viagem,Goiânia,-16.67622,-49.254948,57669483
ad284,Estrada Jardins,6125,Centro,Campinas,-22.93851,-47.101669,02597376
ad285,Av. Paraíso,2111,Vila Madalena,Rio de Janeiro,-22.949373,-43.205995,17469647
ad286,Rua Margaridas,8328,Copacabana,Recife,-8.069342,-34.869337,90824335
ad287,Estrada Limoeiros,9761,Boa Viagem,Curitiba,-25.466019,-49.220336,61788470
ad288,Estrada Oliveiras,9822,Copacabana,Rio de Janeiro,-22.920403,-43.164683,98161639
ad289,Estrada Alecrins,872,Jardim América,Porto Alegre,-30.029628,-51.208143,20248992
ad290,Av. Ipês,1149,Bela Vista,Rio de Janeiro,-22.857412,-43.156762,34329525
ad291,Travessa Flores,9499,Vila Madalena,Porto Alegre,-30.021472,-51.266819,07584006
ad292,Av. Paineiras,5488,Mooca,Belo Horizonte,-19.882396,-43.955949,05093450
ad293,Av. Alecrins,2661,Boa Viagem,Recife,-8.041964,-34.868589,31188922
ad294,Av. Oliveiras,4748,Ipanema,Campinas,-22.937659,-47.073227,84536192
ad295,Travessa Cedros,1186,Mooca,Rio de Janeiro,-22.859573,-43.175613,71204992
ad296,Av. Horizonte,843,Vila Madalena,Porto Alegre,-30.07447,-51.23915,61216963
ad297,Rua Orquídeas,6126,Guaianases,Rio de Janeiro,-22.911762,-43.160537,87484341
ad298,Travessa Acácias,688,Ipanema,Campinas,-22.893525,-47.032787,66977543
ad299,Rua Lavandas,6461,Vila Madalena,Recife,-8.084283,-34.846622,54592919
ad300,Rua Limoeiros,8094,Vila Madalena,Curitiba,-25.456536,-49.298127,86250098
ad301,Rua Horizonte,3330,Centro,Goiânia,-16.663644,-49.253253,10625123
ad302,Rua Horizonte,6017,Bela Vista,Campinas,-22.95469,-47.037514,22653082
ad303,Rua Limoeiros,1469,Guaianases,Curitiba,-25.424923,-49.220096,66722213
ad304,Travessa Jardins,6563,Copacabana,Goiânia,-16.641955,-49.25964,19794653
ad305,Rua Oliveiras,627,Ipanema,Recife,-8.088178,-34.843727,97321818
ad306,Av. Primaveras,5366,Liberdade,Salvador,-13.022528,-38.494701,78032784
ad307,Estrada Paineiras,5880,Liberdade,Curitiba,-25.466923,-49.258671,18014515
ad308,Estrada Paineiras,6533,Liberdade,Fortaleza,-3.712887,-38.525295,00207791
ad309,Travessa Paraíso,9502,Guaianases,Fortaleza,-3.775536,-38.542018,08282866
